"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"u5_iden_grp[1]/u5_id","58","14"
"u5_iden_grp[1]/u5_fullname","58","14"
"u5_iden_grp[1]/u5_age","58","14"
"u5_iden_grp[1]/u5_ct_id","58","14"
"u5_iden_grp[1]/u5_ct_fullname","58","14"
"uf9","1","72"
"consent_grp[1]/consent","3","74"
"consented_grp[1]/ub0","1","76"
"consented_grp[1]/ub1_age_sel","1","77"
"consented_grp[1]/ub1_dob_dmy","9","78"
"consented_grp[1]/ub5","2","88"
"consented_grp[1]/ub9","1","89"
"consented_grp[1]/br1","7","90"
"consented_grp[1]/br2","3","97"
"consented_grp[1]/br3","1","101"
"consented_grp[1]/ec1","2","102"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","13","104"
"consented_grp[1]/ec2_grp[1]/ec2_label","13","104"
"consented_grp[1]/ec2_grp[1]/ec2a","13","104"
"consented_grp[1]/ec2_grp[1]/ec2b","13","104"
"consented_grp[1]/ec2_grp[1]/ec2c","13","104"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","6","116"
"consented_grp[1]/ec3_grp[1]/ec3a","6","116"
"consented_grp[1]/ec3_grp[1]/ec3b","6","116"
"consented_grp[1]/ec7","18","122"
"consented_grp[1]/ec8","1","140"
"consented_grp[1]/ec9","1","142"
"consented_grp[1]/ec10","1","143"
"consented_grp[1]/ec11","2","144"
"consented_grp[1]/ec12","1","146"
"consented_grp[1]/ec13","17","147"
"consented_grp[1]/ec14","2","164"
"consented_grp[1]/ec15","2","166"
"consented_grp[1]/bd_grp[1]/bd2","2","168"
"consented_grp[1]/bd_grp[1]/bd3","2","170"
"consented_grp[1]/bd_grp[1]/bd4","2","172"
"consented_grp[1]/bd_grp[1]/bd5","9","174"
"consented_grp[1]/bd_grp[1]/bd6","3","184"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","20","187"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","20","187"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","20","187"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","20","187"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","20","187"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","20","187"
"consented_grp[1]/bd_grp[1]/bd7d1","10","207"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","217"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","217"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","1","219"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","1","219"
"consented_grp[1]/bd_grp[1]/bd8","2","220"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","222"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","223"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","224"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","1","225"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","1","226"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","1","227"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","228"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","229"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","1","231"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","232"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","1","233"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","1","234"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","1","235"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","1","237"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","1","238"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","239"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","240"
"consented_grp[1]/im2","2","241"
"consented_grp[1]/im5","4","243"
"consented_grp[1]/im6_note","1","247"
"consented_grp[1]/im6_rpt[1]/im6","1","248"
"consented_grp[1]/im6_rpt[1]/im6a","10","249"
"consented_grp[1]/im6_rpt[2]/im6","1","259"
"consented_grp[1]/im6_rpt[2]/im6a","7","260"
"consented_grp[1]/im6_rpt[3]/im6","2","267"
"consented_grp[1]/im6_rpt[4]/im6","1","269"
"consented_grp[1]/im6_rpt[5]/im6","1","270"
"consented_grp[1]/im6_rpt[6]/im6","1","271"
"consented_grp[1]/im6_rpt[7]/im6","1","272"
"consented_grp[1]/im6_rpt[8]/im6","1","273"
"consented_grp[1]/im6_rpt[9]/im6","1","274"
"consented_grp[1]/im6_rpt[10]/im6","1","274"
