"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","7","12"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"u5_iden_grp[1]/u5_id","64","21"
"u5_iden_grp[1]/u5_fullname","64","21"
"u5_iden_grp[1]/u5_age","64","21"
"u5_iden_grp[1]/u5_ct_id","64","21"
"u5_iden_grp[1]/u5_ct_fullname","64","21"
"uf9","2","85"
"consent_grp[1]/consent","2","87"
"consented_grp[1]/ub0","3","89"
"consented_grp[1]/ub1_age_sel","2","92"
"consented_grp[1]/ub1_dob_dmy","17","94"
"consented_grp[1]/ub5","2","111"
"consented_grp[1]/ub8b","4","113"
"consented_grp[1]/ub9","3","117"
"consented_grp[1]/br1","8","120"
"consented_grp[1]/br2","12","125"
"consented_grp[1]/ec1","4","140"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","8","144"
"consented_grp[1]/ec2_grp[1]/ec2_label","8","144"
"consented_grp[1]/ec2_grp[1]/ec2a","8","144"
"consented_grp[1]/ec2_grp[1]/ec2b","8","144"
"consented_grp[1]/ec2_grp[1]/ec2c","8","144"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","151"
"consented_grp[1]/ec3_grp[1]/ec3a","8","151"
"consented_grp[1]/ec3_grp[1]/ec3b","8","151"
"consented_grp[1]/ec7","3","159"
"consented_grp[1]/ec8","3","162"
"consented_grp[1]/ec9","1","164"
"consented_grp[1]/ec10","1","166"
"consented_grp[1]/ec11","1","167"
"consented_grp[1]/ec12","1","168"
"consented_grp[1]/ec13","1","169"
"consented_grp[1]/ec14","1","171"
"consented_grp[1]/ec15","1","172"
"consented_grp[1]/bd_grp[1]/bd2","1","173"
"consented_grp[1]/bd_grp[1]/bd4","4","175"
"consented_grp[1]/bd_grp[1]/bd5","14","179"
"consented_grp[1]/bd_grp[1]/bd6","3","193"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","15","196"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","15","196"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","15","196"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","15","196"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","15","196"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","15","196"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","211"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","211"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","214"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","214"
"consented_grp[1]/bd_grp[1]/bd8","2","216"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","219"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","220"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","223"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","11","224"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b2","3","235"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","9","238"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","247"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","4","249"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","2","253"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","6","256"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","3","262"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","4","265"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","268"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","3","271"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","2","274"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","6","276"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","4","282"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","2","286"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","3","287"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","6","291"
"consented_grp[1]/im2","3","297"
"consented_grp[1]/im5","2","299"
"consented_grp[1]/im6_note","1","301"
"consented_grp[1]/im6_rpt[1]/im6","2","302"
"consented_grp[1]/im6_rpt[1]/im6a","17","305"
"consented_grp[1]/im6_rpt[2]/im6","2","322"
"consented_grp[1]/im6_rpt[2]/im6a","13","323"
"consented_grp[1]/im6_rpt[3]/im6","4","334"
"consented_grp[1]/im6_rpt[3]/im6a","26","336"
"consented_grp[1]/im6_rpt[4]/im6","7","344"
"consented_grp[1]/im6_rpt[4]/im6a","9","374"
"consented_grp[1]/im6_rpt[5]/im6","1","383"
"consented_grp[1]/im6_rpt[5]/im6a","18","384"
"consented_grp[1]/im6_rpt[6]/im6","5","397"
"consented_grp[1]/im6_rpt[6]/im6a","18","400"
"consented_grp[1]/im6_rpt[7]/im6","1","425"
"consented_grp[1]/im6_rpt[7]/im6a","11","427"
"consented_grp[1]/im6_rpt[8]/im6","1","438"
"consented_grp[1]/im6_rpt[8]/im6a","10","440"
"consented_grp[1]/im6_rpt[9]/im6","1","450"
"consented_grp[1]/im6_rpt[9]/im6a","9","451"
"consented_grp[1]/im6_rpt[10]/im6","1","460"
"consented_grp[1]/im6_rpt[10]/im6a","16","462"
"consented_grp[1]/im6_rpt[11]/im6","2","477"
"consented_grp[1]/im6_rpt[11]/im6a","19","479"
"consented_grp[1]/im6_rpt[12]/im6","2","498"
"consented_grp[1]/im6_rpt[12]/im6a","9","500"
"consented_grp[1]/im6_rpt[13]/im6","2","509"
"consented_grp[1]/im6_rpt[13]/im6a","9","511"
"consented_grp[1]/im6_rpt[14]/im6","5","520"
"consented_grp[1]/im6_rpt[14]/im6a","4","522"
"consented_grp[1]/im6_rpt[15]/im6","2","529"
"consented_grp[1]/ca1","2","531"
"consented_grp[1]/ca14","1","533"
"consented_grp[1]/ca16","1","534"
"consented_grp[1]/ca17","1","536"
"consented_grp[1]/ca31","9","537"
"consented_grp[1]/gps_backup","4","546"
"comments","5","550"
