"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","6","11"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"iw_iden_grp[1]/iw_id","64","19"
"iw_iden_grp[1]/iw_fullname","64","19"
"iw_iden_grp[1]/iw_age","64","19"
"wm8","1","82"
"wm9_grp[1]/wm9a","74","83"
"wm9_grp[1]/consent","74","83"
"consented_grp[1]/wb3_age_sel","7","149"
"consented_grp[1]/wb3_dob_dmy","22","164"
"consented_grp[1]/wb5","3","186"
"consented_grp[1]/wb5_grp[1]/wb6","5","188"
"consented_grp[1]/wb5_grp[1]/wb6a","7","193"
"consented_grp[1]/wb5_grp[1]/wb6b","3","201"
"consented_grp[1]/wb5_grp[1]/wb7","2","204"
"consented_grp[1]/wb5_grp[1]/wb10a","3","206"
"consented_grp[1]/wb5_grp[1]/wb10b","2","208"
"consented_grp[1]/wb5_grp[1]/wb12a","2","211"
"consented_grp[1]/wb5_grp[1]/wb12b","5","213"
"consented_grp[1]/wb15","30","214"
"consented_grp[1]/wb16_grp[1]/wb16a","7","248"
"consented_grp[1]/wb16_grp[1]/wb16_note","7","248"
"consented_grp[1]/wb16_grp[1]/wb16b","7","248"
"consented_grp[1]/wb17a","3","255"
"consented_grp[1]/wb17b","1","258"
"consented_grp[1]/wb18","2","259"
"consented_grp[1]/mt1","23","261"
"consented_grp[1]/mt2","24","282"
"consented_grp[1]/mt3","14","303"
"consented_grp[1]/mt4","12","323"
"consented_grp[1]/mt9","10","330"
"consented_grp[1]/mt10","20","345"
"consented_grp[1]/mt11","5","350"
"consented_grp[1]/mt12","7","351"
"consented_grp[1]/cm1","2","377"
"consented_grp[1]/cm2","121","379"
"consented_grp[1]/cm2_grp[1]/cm3","6","500"
"consented_grp[1]/cm2_grp[1]/cm4","6","500"
"consented_grp[1]/cm5","2","505"
"consented_grp[1]/cm8","2","508"
"consented_grp[1]/cm8_grp[1]/cm9","11","510"
"consented_grp[1]/cm8_grp[1]/cm10","11","510"
"consented_grp[1]/cm12","4","521"
"consented_grp[1]/bh0","1","525"
"consented_grp[1]/bh_rpt[1]/bh1","33","526"
"consented_grp[1]/bh_rpt[1]/bh2","1","559"
"consented_grp[1]/bh_rpt[1]/bh3","4","560"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","5","563"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","9","567"
"consented_grp[1]/bh_rpt[1]/bh5","4","574"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","11","576"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","11","576"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","11","576"
"consented_grp[1]/bh_rpt[1]/bh10","5","583"
"consented_grp[1]/bh_rpt[2]/bh1","26","585"
"consented_grp[1]/bh_rpt[2]/bh2","6","604"
"consented_grp[1]/bh_rpt[2]/bh3","4","611"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","612"
