"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","4"
"enum_confirm_grp[1]/enum_details","3","8"
"enum_confirm_grp[1]/enum_confirm","3","8"
"community_id","16","11"
"comm_confirm_grp[1]/comm_details","1","27"
"comm_confirm_grp[1]/comm_confirm","1","27"
"hhid","41","28"
"hh_confirm_grp[1]/hh_details","1","70"
"hh_confirm_grp[1]/hh_confirm","1","70"
"consent_grp[1]/note_uf10a","43","71"
"consent_grp[1]/consent","43","71"
"consented_grp[1]/ub0","2","114"
"consented_grp[1]/ub1_age_sel","3","116"
"consented_grp[1]/ub1_dob_dmy","28","119"
"consented_grp[1]/ub5","7","147"
"consented_grp[1]/br1","7","154"
"consented_grp[1]/br2","9","161"
"consented_grp[1]/ec6_note","1","170"
"consented_grp[1]/ec6","18","171"
"consented_grp[1]/ec7","3","189"
"consented_grp[1]/ec8","2","191"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","16","193"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","16","193"
"consented_grp[1]/ucd2_grp[1]/ucb2d","16","193"
"consented_grp[1]/ucd2_grp[1]/ucb2h","16","193"
"consented_grp[1]/ucd3","23","208"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","12","232"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","12","232"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","12","232"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","12","232"
"consented_grp[1]/ucf_grp[1]/ucf13","3","244"
"consented_grp[1]/bd_grp[1]/bd2","11","247"
"consented_grp[1]/bd_grp[1]/bd3","2","258"
"consented_grp[1]/im2","2","260"
"consented_grp[1]/im5","2","262"
"consented_grp[1]/im6_note","13","264"
"consented_grp[1]/im6_rpt[1]/im6","2","277"
"consented_grp[1]/im6_rpt[1]/im6a","20","279"
"consented_grp[1]/im6_rpt[2]/im6","5","290"
"consented_grp[1]/im6_rpt[2]/im6a","34","292"
"consented_grp[1]/im6_rpt[3]/im6","2","338"
"consented_grp[1]/im6_rpt[3]/im6a","25","340"
"consented_grp[1]/im6_rpt[4]/im6","2","365"
"consented_grp[1]/im6_rpt[4]/im6a","18","367"
"consented_grp[1]/im6_rpt[5]/im6","2","385"
"consented_grp[1]/im6_rpt[5]/im6a","9","387"
"consented_grp[1]/im6_rpt[6]/im6","2","396"
"consented_grp[1]/im6_rpt[6]/im6a","12","398"
"consented_grp[1]/im6_rpt[7]/im6","5","408"
"consented_grp[1]/im6_rpt[7]/im6a","25","416"
"consented_grp[1]/im6_rpt[8]/im6","14","429"
"consented_grp[1]/im6_rpt[8]/im6a","7","454"
"consented_grp[1]/im6_rpt[9]/im6","2","461"
"consented_grp[1]/im6_rpt[9]/im6a","7","463"
"consented_grp[1]/im6_rpt[10]/im6","2","469"
"consented_grp[1]/im6_rpt[10]/im6a","10","472"
"consented_grp[1]/im6_rpt[11]/im6","2","481"
"consented_grp[1]/im6_rpt[11]/im6a","12","484"
"consented_grp[1]/im6_rpt[12]/im6","2","496"
"consented_grp[1]/im6_rpt[12]/im6a","7","498"
"consented_grp[1]/im6_rpt[13]/im6","2","505"
"consented_grp[1]/im6_rpt[13]/im6a","8","507"
"consented_grp[1]/im6_rpt[14]/im6","10","515"
"consented_grp[1]/im6_rpt[14]/im6a","9","525"
"consented_grp[1]/im6_rpt[15]/im6","2","533"
"consented_grp[1]/im6_rpt[15]/im6a","10","535"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","14","546"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","14","546"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","14","546"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","14","546"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","14","546"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","14","546"
"consented_grp[1]/im8_im27_grp[1]/im9","2","560"
"consented_grp[1]/im8_im27_grp[1]/compensation","13","562"
"consented_grp[1]/im8_im27_grp[1]/iw_resp_gift","8","575"
"consented_grp[1]/im8_im27_grp[1]/iw_resp_gift_amt","6","583"
"consented_grp[1]/im8_im27_grp[1]/gps_backup","817","590"
"comments","37","1406"
