"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","12","11"
"comm_confirm_grp[1]/comm_details","2","23"
"comm_confirm_grp[1]/comm_confirm","2","23"
"u5_iden_grp[1]/u5_id","129","25"
"u5_iden_grp[1]/u5_fullname","129","25"
"u5_iden_grp[1]/u5_age","129","25"
"u5_iden_grp[1]/u5_ct_id","129","25"
"u5_iden_grp[1]/u5_ct_fullname","129","25"
"gm1_a","2","154"
"gm1_b","3","156"
"gm2_rpt[1]/gm2_grp[1]/gm3","7","159"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","166"
"gm2_rpt[1]/gm2_grp[1]/gm5","3","168"
"gm2_rpt[1]/gm2_grp[1]/gm6","4","171"
"gm2_rpt[1]/gm2_grp[1]/gm7","12","176"
"gmobs1","6","188"
"gmobs2","3","193"
"an8","88","195"
"an9","2","284"
"an11_grp[1]/an11_a","12","286"
"an11_grp[1]/an11","12","286"
"an12","6","298"
"an13","5","304"
"an15","1","309"
