"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","6","1"
"enum_id","27","2"
"enum_confirm_grp[1]/enum_details","3","18"
"enum_confirm_grp[1]/enum_confirm","3","18"
"community_id","38","19"
"comm_confirm_grp[1]/comm_details","4","50"
"comm_confirm_grp[1]/comm_confirm","4","50"
"u5_iden_grp[1]/u5_id","75","52"
"u5_iden_grp[1]/u5_fullname","75","52"
"u5_iden_grp[1]/u5_age","75","52"
"u5_iden_grp[1]/u5_ct_id","75","52"
"u5_iden_grp[1]/u5_ct_fullname","75","52"
"gm1_a","6","102"
"gm1_b","3","104"
"gm2_rpt[1]/gm2_grp[1]/gm3","6","106"
"gm2_rpt[1]/gm2_grp[1]/gm4","4","110"
"gm2_rpt[1]/gm2_grp[1]/gm5","11","112"
"gm2_rpt[1]/gm2_grp[1]/gm6","4","117"
"gm2_rpt[1]/gm2_grp[1]/gm7","11","119"
"gmobs1","9","127"
"gmobs2","7","-3331"
"an8","9","-3324"
"an9","3","-3315"
"an11_grp[1]/an11_b","8","-3312"
"an11_grp[1]/an11","8","-3312"
"an12","3","-3304"
"an13","32","-3301"
"an15","67","-3273"
