"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","5","8"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","22","14"
"comm_confirm_grp[1]/comm_details","2","37"
"comm_confirm_grp[1]/comm_confirm","2","37"
"u5_iden_grp[1]/u5_id","67","38"
"u5_iden_grp[1]/u5_fullname","67","38"
"u5_iden_grp[1]/u5_age","67","38"
"u5_iden_grp[1]/u5_ct_id","67","38"
"u5_iden_grp[1]/u5_ct_fullname","67","38"
"uf9","4","85"
"consent_grp[1]/consent","2","86"
"consented_grp[1]/ub0","11","88"
"consented_grp[1]/ub1_age_sel","6","90"
"consented_grp[1]/ub1_dob_dmy","17","106"
"consented_grp[1]/age_correct_info","4","120"
"consented_grp[1]/ub5","5","127"
"consented_grp[1]/ub6","7","130"
"consented_grp[1]/ub9","2","137"
"consented_grp[1]/br1","14","139"
"consented_grp[1]/ec1","13","154"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","42","167"
"consented_grp[1]/ec2_grp[1]/ec2_label","42","167"
"consented_grp[1]/ec2_grp[1]/ec2a","42","167"
"consented_grp[1]/ec2_grp[1]/ec2b","42","167"
"consented_grp[1]/ec2_grp[1]/ec2c","42","167"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","38","207"
"consented_grp[1]/ec3_grp[1]/ec3a","38","207"
"consented_grp[1]/ec3_grp[1]/ec3b","38","207"
"consented_grp[1]/ec5_grp[1]/ec5","151","241"
"consented_grp[1]/ec5_grp[1]/ec5_label","151","241"
"consented_grp[1]/ec5_grp[1]/ec5a","151","241"
"consented_grp[1]/ec5_grp[1]/ec5b","151","241"
"consented_grp[1]/ec5_grp[1]/ec5c","151","241"
"consented_grp[1]/ec5_grp[1]/ec5d","151","241"
"consented_grp[1]/ec5_grp[1]/ec5e","151","241"
"consented_grp[1]/ec5_grp[1]/ec5f","151","241"
"consented_grp[1]/ec6_grp[1]/ec6_note","19","392"
"consented_grp[1]/ec6_grp[1]/ec6","19","392"
"consented_grp[1]/ec7","3","408"
"consented_grp[1]/ec8","13","411"
"consented_grp[1]/ec9","5","423"
"consented_grp[1]/ec10","9","429"
"consented_grp[1]/ec11","53","438"
"consented_grp[1]/ec12","6","491"
"consented_grp[1]/ec13","5","496"
"consented_grp[1]/ec14","16","502"
"consented_grp[1]/ec15","17","518"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","154","535"
"consented_grp[1]/ucd2_grp[1]/ucd2a","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2b","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2c","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2d","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2e","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2f","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2g","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2h","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2i","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2j","154","535"
"consented_grp[1]/ucd2_grp[1]/ucb2k","154","535"
"consented_grp[1]/ucd3","15","688"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","738"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","738"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","738"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","738"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","738"
"consented_grp[1]/ucf_grp[1]/ucf5","4","754"
"consented_grp[1]/ucf_grp[1]/ucf7b","7","757"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","762"
"consented_grp[1]/ucf_grp[1]/ucf13","25","766"
"consented_grp[1]/ucf_grp[1]/ucf14","3","790"
"consented_grp[1]/ucf_grp[1]/ucf15","10","794"
"consented_grp[1]/ucf_grp[1]/ucf16","5","803"
"consented_grp[1]/ucf_grp[1]/ucf17","19","808"
"consented_grp[1]/ucf_grp[1]/ucf18","8","827"
"consented_grp[1]/ucf_grp[1]/ucf19","31","835"
"consented_grp[1]/im2","33","866"
"consented_grp[1]/im5","7","878"
"consented_grp[1]/im6_note","3","880"
"consented_grp[1]/im6_rpt[1]/im6","8","882"
"consented_grp[1]/im6_rpt[1]/im6a","22","888"
"consented_grp[1]/im6_rpt[2]/im6","9","904"
"consented_grp[1]/im6_rpt[2]/im6a","18","906"
"consented_grp[1]/im6_rpt[3]/im6","8","919"
"consented_grp[1]/im6_rpt[3]/im6a","28","921"
"consented_grp[1]/im6_rpt[4]/im6","8","942"
"consented_grp[1]/im6_rpt[4]/im6a","23","944"
"consented_grp[1]/im6_rpt[5]/im6","5","956"
"consented_grp[1]/im6_rpt[5]/im6a","21","957"
"consented_grp[1]/im6_rpt[6]/im6","5","973"
"consented_grp[1]/im6_rpt[6]/im6a","24","975"
"consented_grp[1]/im6_rpt[7]/im6","18","992"
"consented_grp[1]/im6_rpt[7]/im6a","24","998"
"consented_grp[1]/im6_rpt[8]/im6","5","1027"
"consented_grp[1]/im6_rpt[8]/im6a","18","1030"
"consented_grp[1]/im6_rpt[9]/im6","6","1044"
"consented_grp[1]/im6_rpt[9]/im6a","20","1046"
"consented_grp[1]/im6_rpt[10]/im6","6","1059"
"consented_grp[1]/im6_rpt[10]/im6a","18","1064"
"consented_grp[1]/im6_rpt[11]/im6","6","1077"
"consented_grp[1]/im6_rpt[11]/im6a","32","1080"
"consented_grp[1]/im6_rpt[12]/im6","8","1136"
"consented_grp[1]/im6_rpt[12]/im6a","15","1143"
"consented_grp[1]/im6_rpt[13]/im6","4","1158"
"consented_grp[1]/im6_rpt[13]/im6a","12","1160"
"consented_grp[1]/im6_rpt[14]/im6","3","1170"
"consented_grp[1]/im6_rpt[14]/im6a","23","1172"
"consented_grp[1]/im6_rpt[15]/im6","3","1193"
"consented_grp[1]/im6_rpt[15]/im6a","12","1194"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","40","1205"
"consented_grp[1]/im8_im27_grp[1]/im9","5","1244"
"consented_grp[1]/ca1","7","1249"
"consented_grp[1]/ca14","3","1253"
"consented_grp[1]/ca16","6","1256"
"consented_grp[1]/ca17","10","1261"
"comments","52","1270"
