"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","10","11"
"comm_confirm_grp[1]/comm_details","2","21"
"comm_confirm_grp[1]/comm_confirm","2","21"
"u5_iden_grp[1]/u5_id","80","23"
"u5_iden_grp[1]/u5_fullname","80","23"
"u5_iden_grp[1]/u5_age","80","23"
"u5_iden_grp[1]/u5_ct_id","80","23"
"u5_iden_grp[1]/u5_ct_fullname","80","23"
"uf9","2","103"
"consent_grp[1]/consent","2","105"
"consented_grp[1]/ub0","2","107"
"consented_grp[1]/ub1_age_sel","2","109"
"consented_grp[1]/ub1_dob_my","17","112"
"consented_grp[1]/ub5","7","129"
"consented_grp[1]/ub9","3","136"
"consented_grp[1]/br1","4","138"
"consented_grp[1]/br2","15","142"
"consented_grp[1]/br3","4","158"
"consented_grp[1]/ec1","3","162"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","21","164"
"consented_grp[1]/ec2_grp[1]/ec2_label","21","164"
"consented_grp[1]/ec2_grp[1]/ec2a","21","164"
"consented_grp[1]/ec2_grp[1]/ec2b","21","164"
"consented_grp[1]/ec2_grp[1]/ec2c","21","164"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","186"
"consented_grp[1]/ec3_grp[1]/ec3a","15","186"
"consented_grp[1]/ec3_grp[1]/ec3b","15","186"
"consented_grp[1]/ec7","8","201"
"consented_grp[1]/ec8","2","209"
"consented_grp[1]/ec9","6","211"
"consented_grp[1]/ec10","7","217"
"consented_grp[1]/ec11","12","224"
"consented_grp[1]/ec12","8","236"
"consented_grp[1]/ec13","15","244"
"consented_grp[1]/ec14","3","258"
"consented_grp[1]/ec15","9","261"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","135","271"
"consented_grp[1]/ucd2_grp[1]/ucd2a","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2b","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2c","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2d","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2e","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2f","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2g","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2h","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2i","135","271"
"consented_grp[1]/ucd2_grp[1]/ucb2j","135","271"
"consented_grp[1]/ucd3","8","406"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","25","414"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","25","414"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","25","414"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","25","414"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","25","414"
"consented_grp[1]/ucf_grp[1]/ucf5","3","439"
"consented_grp[1]/ucf_grp[1]/ucf7b","11","443"
"consented_grp[1]/ucf_grp[1]/ucf9b","19","453"
"consented_grp[1]/ucf_grp[1]/ucf13","9","473"
"consented_grp[1]/ucf_grp[1]/ucf14","11","481"
"consented_grp[1]/ucf_grp[1]/ucf15","21","492"
"consented_grp[1]/ucf_grp[1]/ucf16","6","513"
"consented_grp[1]/ucf_grp[1]/ucf17","17","520"
"consented_grp[1]/ucf_grp[1]/ucf18","6","537"
"consented_grp[1]/ucf_grp[1]/ucf19","6","541"
"consented_grp[1]/bd_grp[1]/bd2","24","549"
"consented_grp[1]/bd_grp[1]/bd3","7","567"
"consented_grp[1]/bd_grp[1]/bd4","13","580"
"consented_grp[1]/bd_grp[1]/bd5","5","594"
"consented_grp[1]/bd_grp[1]/bd6","6","599"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","17","605"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","17","605"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","17","605"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","17","605"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","17","605"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","17","605"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","8","622"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","8","622"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","6","631"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","6","631"
"consented_grp[1]/bd_grp[1]/bd8","2","637"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","639"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","7","640"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","647"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","648"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","652"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","3","657"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","13","660"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","7","673"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","8","680"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","2","688"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","7","689"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","2","697"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","14","698"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","10","712"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","5","722"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","2","727"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","8","729"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","2","737"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","4","739"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","2","744"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","6","745"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","7","752"
"consented_grp[1]/im2","20","758"
"consented_grp[1]/im3","52","779"
"consented_grp[1]/ca1","17","801"
"consented_grp[1]/ca14","3","848"
"consented_grp[1]/ca16","4","850"
"consented_grp[1]/ca17","16","854"
"consented_grp[1]/ca31","20","871"
"consented_grp[1]/gps_backup","5","889"
"comments","8","896"
