"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","25"
"enum_id","3","26"
"enum_confirm_grp[1]/enum_details","1","29"
"enum_confirm_grp[1]/enum_confirm","1","29"
"community_id","9","30"
"comm_confirm_grp[1]/comm_details","2","39"
"comm_confirm_grp[1]/comm_confirm","2","39"
"u5_iden_grp[1]/u5_id","54","40"
"u5_iden_grp[1]/u5_fullname","54","40"
"u5_iden_grp[1]/u5_age","54","40"
"u5_iden_grp[1]/u5_ct_id","54","40"
"u5_iden_grp[1]/u5_ct_fullname","54","40"
"gm1_a","2","96"
"gmobs1","3","98"
"gmobs2","7","102"
"an8","43","105"
"an9","2","151"
"an11_grp[1]/an11_a","7","153"
"an11_grp[1]/an11","7","153"
"an12","2","160"
"an13","1","162"
"an15","1","163"
