"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","103","8"
"enum_id","9","111"
"enum_confirm_grp[1]/enum_details","2","117"
"enum_confirm_grp[1]/enum_confirm","2","117"
"community_id","87","118"
"comm_confirm_grp[1]/comm_details","6","159"
"comm_confirm_grp[1]/comm_confirm","6","159"
"hhid_grp[1]/hhid_instruction","11","160"
"hhid_grp[1]/hhid_struct_num","11","160"
"hhid_grp[1]/hhid_hh_num","11","160"
"hhid_confirm_grp[1]/hhid_details","2","169"
"hhid_confirm_grp[1]/hhid_confirm","2","169"
"consent_grp[1]/consent_instr","9","170"
"consent_grp[1]/consent","9","170"
"consented_grp[1]/hh_note","33","175"
"consented_grp[1]/hhm_cnt","6","203"
"consented_grp[1]/rooster_note","12","207"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","117","215"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","117","215"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","117","215"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","6","243"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","245"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","21","247"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","42","266"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","284"
"consented_grp[1]/hhm_rpt[1]/ed4","4","286"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","26","288"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","18","291"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","5","293"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","122","295"
"consented_grp[1]/hhm_rpt[1]/ed9","2","297"
"consented_grp[1]/hhm_rpt[1]/ed9_grp[1]/ed10","2","299"
"consented_grp[1]/hhm_rpt[1]/ed9_grp[1]/ed11a","2","300"
"consented_grp[1]/hhm_rpt[1]/ed9_grp[1]/ed12","1","302"
"consented_grp[1]/hhm_rpt[1]/ed9_grp[1]/ed13","1","303"
"consented_grp[1]/hhm_rpt[1]/ed9_grp[1]/ed14","3","305"
"consented_grp[1]/hhm_rpt[1]/ed15","7","307"
"consented_grp[1]/hhm_rpt[1]/ed16_grp[1]/ed16a","2","314"
"consented_grp[1]/hhm_rpt[1]/ed16_grp[1]/ed16b","2","316"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","62","318"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","62","318"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","46","326"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","46","326"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","46","326"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","40","346"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","6","357"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","18","359"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_y","32","361"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","7","391"
"consented_grp[1]/hhm_rpt[2]/ed4","25","396"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","11","414"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","14","419"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","6","421"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","9","422"
"consented_grp[1]/hhm_rpt[2]/ed9","8","424"
"consented_grp[1]/hhm_rpt[2]/ed15","3","435"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","11","436"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","11","436"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","50","469"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","50","469"
