"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","4"
"enum_id","7","7"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","33","15"
"comm_confirm_grp[1]/comm_details","12","31"
"comm_confirm_grp[1]/comm_confirm","12","31"
"hhid","29","32"
"hh_confirm_grp[1]/hh_details","2","89"
"hh_confirm_grp[1]/hh_confirm","2","89"
"consent_grp[1]/note_uf10a","94","90"
"consent_grp[1]/consent","94","90"
"consented_grp[1]/ub0","7","185"
"consented_grp[1]/ub1_age_sel","14","186"
"consented_grp[1]/ub1_dob_dmy","25","206"
"consented_grp[1]/ub5","9","231"
"consented_grp[1]/br1","9","239"
"consented_grp[1]/ec6_note","2","249"
"consented_grp[1]/ec6","5","251"
"consented_grp[1]/ec7","2","256"
"consented_grp[1]/ec8","2","258"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","9","260"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","9","260"
"consented_grp[1]/ucd2_grp[1]/ucb2d","9","260"
"consented_grp[1]/ucd2_grp[1]/ucb2h","9","260"
"consented_grp[1]/ucd3","50","269"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","22","319"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","22","319"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","22","319"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","22","319"
"consented_grp[1]/ucf_grp[1]/ucf9a","4","342"
"consented_grp[1]/ucf_grp[1]/ucf11","3","345"
"consented_grp[1]/bd_grp[1]/bd2","4","348"
"consented_grp[1]/bd_grp[1]/bd3","2","352"
"consented_grp[1]/im2","3","354"
"consented_grp[1]/im5","2","357"
"consented_grp[1]/im6_note","5","359"
"consented_grp[1]/im6_rpt[1]/im6","11","364"
"consented_grp[1]/im6_rpt[1]/im6a","14","376"
"consented_grp[1]/im6_rpt[2]/im6","2","390"
"consented_grp[1]/im6_rpt[2]/im6a","13","392"
"consented_grp[1]/im6_rpt[3]/im6","2","405"
"consented_grp[1]/im6_rpt[3]/im6a","18","407"
"consented_grp[1]/im6_rpt[4]/im6","2","426"
"consented_grp[1]/im6_rpt[4]/im6a","6","428"
"consented_grp[1]/im6_rpt[5]/im6","2","434"
"consented_grp[1]/im6_rpt[5]/im6a","6","436"
"consented_grp[1]/im6_rpt[6]/im6","2","442"
"consented_grp[1]/im6_rpt[6]/im6a","9","444"
"consented_grp[1]/im6_rpt[7]/im6","7","452"
"consented_grp[1]/im6_rpt[7]/im6a","13","460"
"consented_grp[1]/im6_rpt[8]/im6","2","472"
"consented_grp[1]/im6_rpt[8]/im6a","6","475"
"consented_grp[1]/im6_rpt[9]/im6","2","481"
"consented_grp[1]/im6_rpt[9]/im6a","5","483"
"consented_grp[1]/im6_rpt[10]/im6","3","488"
"consented_grp[1]/im6_rpt[10]/im6a","4","491"
"consented_grp[1]/im6_rpt[11]/im6","3","495"
"consented_grp[1]/im6_rpt[11]/im6a","12","498"
"consented_grp[1]/im6_rpt[12]/im6","2","510"
"consented_grp[1]/im6_rpt[12]/im6a","10","512"
"consented_grp[1]/im6_rpt[13]/im6","3","522"
"consented_grp[1]/im6_rpt[13]/im6a","7","525"
"consented_grp[1]/im6_rpt[14]/im6","12","532"
"consented_grp[1]/im6_rpt[14]/im6a","10","545"
"consented_grp[1]/im6_rpt[15]/im6","6","555"
"consented_grp[1]/im6_rpt[15]/im6a","9","561"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","20","570"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","20","570"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","20","570"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","20","570"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","20","570"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","20","570"
"consented_grp[1]/im8_im27_grp[1]/im9","3","590"
"consented_grp[1]/im8_im27_grp[1]/compensation","18","593"
"consented_grp[1]/im8_im27_grp[1]/iw_resp_gift","8","611"
"consented_grp[1]/im8_im27_grp[1]/iw_resp_gift_amt","5","620"
"consented_grp[1]/im8_im27_grp[1]/gps_backup","204","624"
"comments","9","828"
