"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","17","3"
"enum_confirm_grp[1]/enum_details","1","20"
"enum_confirm_grp[1]/enum_confirm","1","20"
"community_id","23","21"
"comm_confirm_grp[1]/comm_details","1","44"
"comm_confirm_grp[1]/comm_confirm","1","44"
"iw_iden_grp[1]/iw_id","64","45"
"iw_iden_grp[1]/iw_fullname","64","45"
"iw_iden_grp[1]/iw_age","64","45"
"wm8","3","109"
"wm9_grp[1]/wm9b","9","112"
"wm9_grp[1]/consent","9","112"
"consented_grp[1]/wb3_age_sel","5","121"
"consented_grp[1]/wb4_age_est","3","126"
"consented_grp[1]/wb5","2","129"
"consented_grp[1]/wb5_grp[1]/wb6","2","131"
"consented_grp[1]/wb5_grp[1]/wb6a","24","133"
"consented_grp[1]/wb5_grp[1]/wb6b","2","157"
"consented_grp[1]/wb5_grp[1]/wb7","7","159"
"consented_grp[1]/wb5_grp[1]/wb9","4","166"
"consented_grp[1]/wb5_grp[1]/wb10a","11","170"
"consented_grp[1]/wb5_grp[1]/wb10b","2","181"
"consented_grp[1]/wb5_grp[1]/wb11","4","183"
"consented_grp[1]/wb5_grp[1]/wb12","4","187"
"consented_grp[1]/wb5_grp[1]/wb12a","6","191"
"consented_grp[1]/wb5_grp[1]/wb12b","11","196"
"consented_grp[1]/wb15","104","199"
"consented_grp[1]/wb16_grp[1]/wb16a","18","308"
"consented_grp[1]/wb16_grp[1]/wb16_note","18","308"
"consented_grp[1]/wb16_grp[1]/wb16b","18","308"
"consented_grp[1]/wb17a","4","329"
"consented_grp[1]/wb17b","2","333"
"consented_grp[1]/wb18","11","335"
"consented_grp[1]/mt1","10","346"
"consented_grp[1]/mt2","15","356"
"consented_grp[1]/mt3","8","370"
"consented_grp[1]/mt4","7","378"
"consented_grp[1]/mt9","10","385"
"consented_grp[1]/mt11","9","395"
"consented_grp[1]/mt12","32","404"
"consented_grp[1]/cm1","6","436"
"consented_grp[1]/cm2","3","442"
"consented_grp[1]/cm2_grp[1]/cm3","7","445"
"consented_grp[1]/cm2_grp[1]/cm4","7","445"
"consented_grp[1]/cm5","5","452"
"consented_grp[1]/cm8","7","456"
"consented_grp[1]/cm12","8","463"
"consented_grp[1]/bh0","1","471"
"consented_grp[1]/bh_rpt[1]/bh1","22","473"
"consented_grp[1]/bh_rpt[1]/bh2","2","494"
"consented_grp[1]/bh_rpt[1]/bh3","2","497"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","4","499"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","32","502"
"consented_grp[1]/bh_rpt[1]/bh5","4","535"
"consented_grp[1]/bh_rpt[1]/bh6","3","539"
"consented_grp[1]/bh_rpt[1]/bh7","38","543"
"consented_grp[1]/bh_rpt[1]/bh8","7","580"
"consented_grp[1]/bh_rpt[1]/bh10","4","587"
"consented_grp[1]/db2","7","591"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","5","598"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","27","603"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","26","630"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","26","630"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","72","657"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","16","729"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","16","729"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","16","729"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","16","729"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","16","729"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","7","745"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","22","752"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","7","767"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","10","781"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","6","791"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","16","797"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","12","813"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","17","825"
