"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","5","12"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","129","19"
"u5_iden_grp[1]/u5_fullname","129","19"
"u5_iden_grp[1]/u5_age","129","19"
"u5_iden_grp[1]/u5_ct_id","129","19"
"u5_iden_grp[1]/u5_ct_fullname","129","19"
"uf9","2","148"
"consent_grp[1]/consent","2","150"
"consented_grp[1]/ub0","1","152"
"consented_grp[1]/ub1_age_sel","2","154"
"consented_grp[1]/ub1_dob_dmy","46","156"
"consented_grp[1]/age_correct_info","4","175"
"consented_grp[1]/ub5","12","204"
"consented_grp[1]/ub8b","1","218"
"consented_grp[1]/ub9","3","220"
"consented_grp[1]/br1","7","222"
"consented_grp[1]/br2","3","230"
"consented_grp[1]/br3","3","233"
"consented_grp[1]/ec1","6","236"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","9","242"
"consented_grp[1]/ec2_grp[1]/ec2_label","9","242"
"consented_grp[1]/ec2_grp[1]/ec2a","9","242"
"consented_grp[1]/ec2_grp[1]/ec2b","9","242"
"consented_grp[1]/ec2_grp[1]/ec2c","9","242"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","14","251"
"consented_grp[1]/ec3_grp[1]/ec3a","14","251"
"consented_grp[1]/ec3_grp[1]/ec3b","14","251"
"consented_grp[1]/ec5_grp[1]/ec5","11","265"
"consented_grp[1]/ec5_grp[1]/ec5_label","11","265"
"consented_grp[1]/ec5_grp[1]/ec5a","11","265"
"consented_grp[1]/ec5_grp[1]/ec5b","11","265"
"consented_grp[1]/ec5_grp[1]/ec5c","11","265"
"consented_grp[1]/ec5_grp[1]/ec5d","11","265"
"consented_grp[1]/ec5_grp[1]/ec5e","11","265"
"consented_grp[1]/ec5_grp[1]/ec5f","11","265"
"consented_grp[1]/ec6_grp[1]/ec6_note","21","276"
"consented_grp[1]/ec6_grp[1]/ec6","21","276"
"consented_grp[1]/ec7","3","297"
"consented_grp[1]/ec8","4","300"
"consented_grp[1]/ec9","3","304"
"consented_grp[1]/ec10","11","307"
"consented_grp[1]/ec11","6","318"
"consented_grp[1]/ec12","3","324"
"consented_grp[1]/ec13","5","327"
"consented_grp[1]/ec14","3","332"
"consented_grp[1]/ec15","4","335"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","57","338"
"consented_grp[1]/ucd2_grp[1]/ucd2a","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2b","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2c","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2d","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2e","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2f","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2g","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2h","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2i","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2j","57","338"
"consented_grp[1]/ucd2_grp[1]/ucb2k","57","338"
"consented_grp[1]/ucd3","4","396"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","8","400"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","8","400"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","8","400"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","8","400"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","8","400"
"consented_grp[1]/ucf_grp[1]/ucf5","2","408"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","409"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","411"
"consented_grp[1]/ucf_grp[1]/ucf13","1","412"
"consented_grp[1]/ucf_grp[1]/ucf14","1","413"
"consented_grp[1]/ucf_grp[1]/ucf15","1","415"
"consented_grp[1]/ucf_grp[1]/ucf16","1","416"
"consented_grp[1]/ucf_grp[1]/ucf17","6","417"
"consented_grp[1]/ucf_grp[1]/ucf18","3","423"
"consented_grp[1]/ucf_grp[1]/ucf19","5","427"
"consented_grp[1]/im2","2","432"
"consented_grp[1]/im5","2","434"
"consented_grp[1]/im6_note","1","436"
"consented_grp[1]/im6_rpt[1]/im6","10","437"
"consented_grp[1]/im6_rpt[1]/im6a","32","447"
"consented_grp[1]/im6_rpt[2]/im6","7","479"
"consented_grp[1]/im6_rpt[2]/im6a","14","486"
"consented_grp[1]/im6_rpt[3]/im6","2","500"
"consented_grp[1]/im6_rpt[3]/im6a","18","502"
"consented_grp[1]/im6_rpt[4]/im6","2","520"
"consented_grp[1]/im6_rpt[4]/im6a","16","522"
"consented_grp[1]/im6_rpt[5]/im6","2","538"
"consented_grp[1]/im6_rpt[5]/im6a","19","540"
"consented_grp[1]/im6_rpt[6]/im6","2","560"
"consented_grp[1]/im6_rpt[6]/im6a","13","562"
"consented_grp[1]/im6_rpt[7]/im6","2","575"
"consented_grp[1]/im6_rpt[7]/im6a","17","578"
"consented_grp[1]/im6_rpt[8]/im6","3","592"
"consented_grp[1]/im6_rpt[8]/im6a","15","598"
"consented_grp[1]/im6_rpt[9]/im6","3","612"
"consented_grp[1]/im6_rpt[9]/im6a","13","615"
"consented_grp[1]/im6_rpt[10]/im6","2","629"
"consented_grp[1]/im6_rpt[10]/im6a","15","630"
"consented_grp[1]/im6_rpt[11]/im6","2","645"
"consented_grp[1]/im6_rpt[11]/im6a","15","647"
"consented_grp[1]/im6_rpt[12]/im6","2","662"
"consented_grp[1]/im6_rpt[12]/im6a","12","664"
"consented_grp[1]/im6_rpt[13]/im6","2","676"
"consented_grp[1]/im6_rpt[13]/im6a","13","678"
"consented_grp[1]/im6_rpt[14]/im6","7","692"
"consented_grp[1]/im6_rpt[14]/im6a","19","698"
"consented_grp[1]/im6_rpt[15]/im6","2","717"
"consented_grp[1]/im6_rpt[15]/im6a","33","719"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","5","753"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","5","753"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","5","753"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","5","753"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","5","753"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","5","753"
"consented_grp[1]/im8_im27_grp[1]/im9","8","758"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[1]/im10","2","765"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[2]/im10","1","767"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[3]/im10","14","768"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[4]/im10","1","783"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[5]/im10","2","784"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[6]/im10","1","785"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[7]/im10","2","787"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[8]/im10","1","788"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[9]/im10","1","790"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[10]/im10","1","791"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[11]/im10","1","792"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[12]/im10","1","793"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[13]/im10","1","794"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[14]/im10","1","795"
"consented_grp[1]/im8_im27_grp[1]/im10_rpt[15]/im10","1","796"
"consented_grp[1]/ca1","2","798"
"consented_grp[1]/ca14","1","800"
"consented_grp[1]/ca16","1","801"
"consented_grp[1]/ca17","2","802"
"comments","6","804"
