"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","10","9"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","6","20"
"comm_confirm_grp[1]/comm_details","3","26"
"comm_confirm_grp[1]/comm_confirm","3","26"
"hhid","14","27"
"hh_confirm_grp[1]/hh_details","6","40"
"hh_confirm_grp[1]/hh_confirm","6","40"
"consent_grp[1]/consent_instr","67","42"
"consent_grp[1]/consent","67","42"
"consented_grp[1]/hh_note","6","116"
"consented_grp[1]/hhm_cnt","159","121"
"consented_grp[1]/rooster_note","2","281"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","282"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","282"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","282"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","302"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","303"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","305"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","307"
"consented_grp[1]/hhm_rpt[1]/ed4","2","309"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","1","311"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","1","311"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","312"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","312"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","312"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","326"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","328"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","329"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","3","330"
"consented_grp[1]/hhm_rpt[2]/ed4","2","333"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","5","335"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","5","335"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","10","340"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","10","340"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","10","340"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","350"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","352"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","353"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl6_age_est","2","355"
"consented_grp[1]/hhm_rpt[3]/ed4","1","357"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","8","358"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","366"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","367"
