"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","9","4"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","9","13"
"comm_confirm_grp[1]/comm_details","4","19"
"comm_confirm_grp[1]/comm_confirm","4","19"
"hhid_grp[1]/hhid_instruction","25","21"
"hhid_grp[1]/hhid_struct_num","25","21"
"hhid_grp[1]/hhid_hh_num","25","21"
"hhid_confirm_grp[1]/hhid_details","3","41"
"hhid_confirm_grp[1]/hhid_confirm","3","41"
"consent_grp[1]/consent_instr","7","42"
"consent_grp[1]/consent","7","42"
"consented_grp[1]/hh_note","3","48"
"consented_grp[1]/hhm_cnt","11","50"
"consented_grp[1]/rooster_note","5","55"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","37","57"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","37","57"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","37","57"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","85"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","87"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","10","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","9","94"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","129","105"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","256"
"consented_grp[1]/hhm_rpt[1]/ed4","18","259"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","30","274"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","12","301"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","5","305"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","9","313"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","23","315"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","23","315"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","108","334"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","108","334"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","108","334"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","367"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","368"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","11","370"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_my","2","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","43","381"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","422"
"consented_grp[1]/hhm_rpt[2]/ed4","12","424"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","4","432"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","7","434"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","7","437"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","7","439"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","25","442"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","25","442"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","41","446"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","41","446"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","41","446"
