"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","3","10"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"iw_iden_grp[1]/iw_id","59","15"
"iw_iden_grp[1]/iw_fullname","59","15"
"iw_iden_grp[1]/iw_age","59","15"
"wm8","10","74"
"wm9_grp[1]/wm9a","3","84"
"wm9_grp[1]/consent","3","84"
"consented_grp[1]/wb3_age_sel","2","87"
"consented_grp[1]/wb3_dob_dmy","22","89"
"consented_grp[1]/wb5","2","111"
"consented_grp[1]/wb14_grp[1]/wb14_note","14","113"
"consented_grp[1]/wb14_grp[1]/wb14","14","113"
"consented_grp[1]/wb15","26","124"
"consented_grp[1]/wb16_grp[1]/wb16a","17","142"
"consented_grp[1]/wb16_grp[1]/wb16_note","17","142"
"consented_grp[1]/wb16_grp[1]/wb16b","17","142"
"consented_grp[1]/wb18","2","170"
"consented_grp[1]/mt1","2","172"
"consented_grp[1]/mt2","4","174"
"consented_grp[1]/mt3","2","179"
"consented_grp[1]/mt4","5","180"
"consented_grp[1]/mt9","25","185"
"consented_grp[1]/mt11","2","210"
"consented_grp[1]/mt12","8","212"
"consented_grp[1]/cm1","5","217"
"consented_grp[1]/cm2","18","225"
"consented_grp[1]/cm2_grp[1]/cm3","18","244"
"consented_grp[1]/cm2_grp[1]/cm4","18","244"
"consented_grp[1]/cm5","1","261"
"consented_grp[1]/cm5_grp[1]/cm6","40","263"
"consented_grp[1]/cm5_grp[1]/cm7","40","263"
"consented_grp[1]/cm8","4","302"
"consented_grp[1]/cm8_grp[1]/cm9","13","306"
"consented_grp[1]/cm8_grp[1]/cm10","13","306"
"consented_grp[1]/cm12","2","319"
"consented_grp[1]/bh0","1","321"
"consented_grp[1]/bh_rpt[1]/bh1","12","322"
"consented_grp[1]/bh_rpt[1]/bh2","1","334"
"consented_grp[1]/bh_rpt[1]/bh3","2","335"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","13","338"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","17","344"
"consented_grp[1]/bh_rpt[1]/bh5","1","367"
"consented_grp[1]/bh_rpt[1]/bh6","7","369"
"consented_grp[1]/bh_rpt[1]/bh7","2","376"
"consented_grp[1]/bh_rpt[1]/bh8","10","378"
"consented_grp[1]/bh_rpt[1]/bh10","2","387"
"consented_grp[1]/bh_rpt[2]/bh1","14","389"
"consented_grp[1]/bh_rpt[2]/bh2","1","404"
"consented_grp[1]/bh_rpt[2]/bh3","1","405"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","406"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","1","407"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","10","410"
"consented_grp[1]/bh_rpt[2]/bh5","4","418"
"consented_grp[1]/bh_rpt[2]/bh6","8","424"
"consented_grp[1]/bh_rpt[2]/bh7","10","432"
"consented_grp[1]/bh_rpt[2]/bh10","2","442"
"consented_grp[1]/bh_rpt[3]/bh1","11","444"
"consented_grp[1]/bh_rpt[3]/bh2","1","455"
"consented_grp[1]/bh_rpt[3]/bh3","1","456"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","1","457"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","35","458"
"consented_grp[1]/bh_rpt[3]/bh5","6","492"
"consented_grp[1]/bh_rpt[3]/bh6","20","494"
"consented_grp[1]/bh_rpt[3]/bh7","4","520"
"consented_grp[1]/bh_rpt[3]/bh8","8","524"
"consented_grp[1]/bh_rpt[3]/bh10","1","532"
"consented_grp[1]/bh_rpt[4]/bh1","10","534"
"consented_grp[1]/bh_rpt[4]/bh2","1","544"
"consented_grp[1]/bh_rpt[4]/bh3","1","545"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","3","546"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","20","549"
"consented_grp[1]/bh_rpt[4]/bh5","2","569"
"consented_grp[1]/bh_rpt[4]/bh6","8","571"
"consented_grp[1]/bh_rpt[4]/bh7","1","579"
"consented_grp[1]/bh_rpt[4]/bh8","29","580"
"consented_grp[1]/bh_rpt[4]/bh10","1","609"
"consented_grp[1]/bh_rpt[5]/bh1","9","610"
"consented_grp[1]/bh_rpt[5]/bh2","1","619"
"consented_grp[1]/bh_rpt[5]/bh3","2","621"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","1","623"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","29","624"
"consented_grp[1]/bh_rpt[5]/bh5","2","652"
"consented_grp[1]/bh_rpt[5]/bh6","3","654"
"consented_grp[1]/bh_rpt[5]/bh7","2","657"
"consented_grp[1]/bh_rpt[5]/bh10","1","659"
"consented_grp[1]/bh_rpt[6]/bh1","29","661"
"consented_grp[1]/bh_rpt[6]/bh2","5","675"
"consented_grp[1]/bh_rpt[6]/bh3","3","677"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","5","679"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","46","680"
"consented_grp[1]/bh_rpt[6]/bh5","31","720"
"consented_grp[1]/bh_rpt[6]/bh6","9","750"
"consented_grp[1]/bh_rpt[6]/bh7","3","758"
"consented_grp[1]/bh_rpt[6]/bh8","9","760"
"consented_grp[1]/bh_rpt[6]/bh10","11","768"
"consented_grp[1]/cm15","1","770"
"consented_grp[1]/bh_rpt[7]/bh1","71","774"
"consented_grp[1]/bh_rpt[7]/bh2","34","822"
"consented_grp[1]/bh_rpt[7]/bh3","8","843"
"consented_grp[1]/bh_rpt[7]/bh4_age_sel","8","848"
"consented_grp[1]/bh_rpt[7]/bh4_dob_dmy","62","851"
"consented_grp[1]/bh_rpt[7]/bh5","11","872"
"consented_grp[1]/bh_rpt[7]/bh6","9","873"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_note","14","876"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_a","14","876"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_b","14","876"
"consented_grp[1]/bh_rpt[7]/bh10","11","888"
"consented_grp[1]/db2","77","890"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","36","907"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","6","921"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","27","922"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","27","922"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","29","935"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","13","958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","13","958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","13","958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","13","958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","13","958"
"consented_grp[1]/bh_rpt[6]/bh4_dob_my","10","1026"
"consented_grp[1]/bh_rpt[6]/bh9_grp[1]/bh9_note","20","1038"
"consented_grp[1]/bh_rpt[6]/bh9_grp[1]/bh9_a","20","1038"
"consented_grp[1]/bh_rpt[6]/bh9_grp[1]/bh9_b","20","1038"
"consented_grp[1]/bh_rpt[7]/bh7","5","1111"
"consented_grp[1]/bh_rpt[7]/bh8","13","1114"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","10","1197"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","6","1219"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","10","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","4","1231"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","6","1233"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","20","1235"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","5","1256"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","26","1258"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","12","1284"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","3","1294"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","38","1295"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","10","1327"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","3","1339"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","11","1341"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","24","1351"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","18","1453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","18","1453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","2","1480"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","7","1482"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","9","1489"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","9","1489"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","9","1495"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","3","1504"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","17","1505"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","17","1505"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","3","1526"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","3","1526"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","1529"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","1529"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","11","1531"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","11","1531"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","1","1542"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","13","1543"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","13","1543"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","13","1543"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","13","1543"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","13","1543"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","9","1557"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","10","1565"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","7","1567"
"consented_grp[1]/cp1_grp[1]/cp1_note","10","1582"
"consented_grp[1]/cp1_grp[1]/cp1","10","1582"
"consented_grp[1]/cp2_grp[1]/cp2_note","6","1592"
"consented_grp[1]/cp2_grp[1]/cp2","6","1592"
"consented_grp[1]/cp4","17","1597"
"consented_grp[1]/un7","18","1604"
"consented_grp[1]/ma1","7","1625"
"consented_grp[1]/ma2","12","1638"
"consented_grp[1]/ma3","5","1651"
"consented_grp[1]/ma4","8","1656"
"consented_grp[1]/ma7","13","1661"
"consented_grp[1]/ma8a","78","1669"
"consented_grp[1]/ma11a","5","1754"
"consented_grp[1]/af_grp[1]/af2","2","1760"
"consented_grp[1]/af_grp[1]/af3","1","1761"
"consented_grp[1]/af_grp[1]/af4","8","1762"
"consented_grp[1]/af_grp[1]/af6b","1","1770"
"consented_grp[1]/af_grp[1]/af8b","1","1771"
"consented_grp[1]/af_grp[1]/af9","1","1772"
"consented_grp[1]/af_grp[1]/af10","1","1773"
"consented_grp[1]/af_grp[1]/af11","1","1774"
"consented_grp[1]/af_grp[1]/af12","3","1775"
"consented_grp[1]/ls1_grp[1]/ls_note","37","1777"
"consented_grp[1]/ls1_grp[1]/ls1","37","1777"
"consented_grp[1]/ls2_grp[1]/ls2_note","10","1810"
"consented_grp[1]/ls2_grp[1]/ls2","10","1810"
"consented_grp[1]/ls3","2","1825"
"consented_grp[1]/ls4","1","1827"
"consented_grp[1]/survey_language","1","1828"
"consented_grp[1]/survey_accomp","1","1830"
