"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"u5_iden_grp[1]/u5_id","65","14"
"u5_iden_grp[1]/u5_fullname","65","14"
"u5_iden_grp[1]/u5_age","65","14"
"u5_iden_grp[1]/u5_ct_id","65","14"
"u5_iden_grp[1]/u5_ct_fullname","65","14"
"uf9","2","79"
"consent_grp[1]/consent","2","80"
"consented_grp[1]/ub0","1","82"
"consented_grp[1]/ub1_age_sel","2","83"
"consented_grp[1]/ub1_dob_dmy","11","85"
"consented_grp[1]/ub5","3","97"
"consented_grp[1]/ub9","3","100"
"consented_grp[1]/br1","3","103"
"consented_grp[1]/br2","6","105"
"consented_grp[1]/br3","3","111"
"consented_grp[1]/ec1","3","114"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","10","117"
"consented_grp[1]/ec2_grp[1]/ec2_label","10","117"
"consented_grp[1]/ec2_grp[1]/ec2a","10","117"
"consented_grp[1]/ec2_grp[1]/ec2b","10","117"
"consented_grp[1]/ec2_grp[1]/ec2c","10","117"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","127"
"consented_grp[1]/ec3_grp[1]/ec3a","8","127"
"consented_grp[1]/ec3_grp[1]/ec3b","8","127"
"consented_grp[1]/ec7","3","135"
"consented_grp[1]/ec8","2","138"
"consented_grp[1]/ec9","3","139"
"consented_grp[1]/ec10","9","142"
"consented_grp[1]/ec11","3","151"
"consented_grp[1]/ec12","2","153"
"consented_grp[1]/ec13","2","156"
"consented_grp[1]/ec14","1","158"
"consented_grp[1]/ec15","3","159"
"consented_grp[1]/bd_grp[1]/bd2","4","160"
"consented_grp[1]/bd_grp[1]/bd3","2","166"
"consented_grp[1]/bd_grp[1]/bd4","22","168"
