"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","8","7"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","115","16"
"u5_iden_grp[1]/u5_fullname","115","16"
"u5_iden_grp[1]/u5_age","115","16"
"u5_iden_grp[1]/u5_ct_id","115","16"
"u5_iden_grp[1]/u5_ct_fullname","115","16"
"gm1_a","5","131"
"gmobs1","1","137"
"gmobs2","1","138"
"an8","12","139"
"an9","4","151"
"an11_grp[1]/an11_b","7","155"
"an11_grp[1]/an11","7","155"
"an12","3","161"
"an13","2","164"
"an15","1","165"
