"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","25"
"enum_id","4","28"
"enum_confirm_grp[1]/enum_details","1","32"
"enum_confirm_grp[1]/enum_confirm","1","32"
"community_id","8","33"
"comm_confirm_grp[1]/comm_details","1","41"
"comm_confirm_grp[1]/comm_confirm","1","41"
"u5_iden_grp[1]/u5_id","46","43"
"u5_iden_grp[1]/u5_fullname","46","43"
"u5_iden_grp[1]/u5_age","46","43"
"u5_iden_grp[1]/u5_ct_id","46","43"
"u5_iden_grp[1]/u5_ct_fullname","46","43"
"uf9","2","88"
"consent_grp[1]/consent","3","90"
"consented_grp[1]/ub0","1","93"
"consented_grp[1]/ub1_age_sel","2","94"
"consented_grp[1]/ub1_dob_dmy","12","96"
"consented_grp[1]/ub5","4","108"
"consented_grp[1]/ub6","1","112"
"consented_grp[1]/ub9","2","113"
"consented_grp[1]/br1","11","115"
"consented_grp[1]/br2","2","126"
"consented_grp[1]/br3","8","128"
"consented_grp[1]/ec1","2","136"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","22","138"
"consented_grp[1]/ec2_grp[1]/ec2_label","22","138"
"consented_grp[1]/ec2_grp[1]/ec2a","22","138"
"consented_grp[1]/ec2_grp[1]/ec2b","22","138"
"consented_grp[1]/ec2_grp[1]/ec2c","22","138"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","6","159"
"consented_grp[1]/ec3_grp[1]/ec3a","6","159"
"consented_grp[1]/ec3_grp[1]/ec3b","6","159"
"consented_grp[1]/ec5_grp[1]/ec5","23","165"
"consented_grp[1]/ec5_grp[1]/ec5_label","23","165"
"consented_grp[1]/ec5_grp[1]/ec5a","23","165"
"consented_grp[1]/ec5_grp[1]/ec5b","23","165"
"consented_grp[1]/ec5_grp[1]/ec5c","23","165"
"consented_grp[1]/ec5_grp[1]/ec5d","23","165"
"consented_grp[1]/ec5_grp[1]/ec5e","23","165"
"consented_grp[1]/ec5_grp[1]/ec5f","23","165"
"consented_grp[1]/ec6_grp[1]/ec6_note","3","189"
"consented_grp[1]/ec6_grp[1]/ec6","3","189"
"consented_grp[1]/ec7","2","192"
"consented_grp[1]/ec8","1","194"
"consented_grp[1]/ec9","2","195"
"consented_grp[1]/ec10","4","197"
"consented_grp[1]/ec11","5","201"
"consented_grp[1]/ec12","1","206"
"consented_grp[1]/ec13","2","207"
"consented_grp[1]/ec14","2","209"
"consented_grp[1]/ec15","2","212"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","26","214"
"consented_grp[1]/ucd2_grp[1]/ucd2a","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2b","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2c","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2d","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2e","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2f","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2g","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2h","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2i","26","214"
"consented_grp[1]/ucd2_grp[1]/ucb2j","26","214"
"consented_grp[1]/ucd3","2","240"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","13","242"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","13","242"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","13","242"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","13","242"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","13","242"
"consented_grp[1]/ucf_grp[1]/ucf5","1","255"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","256"
"consented_grp[1]/ucf_grp[1]/ucf9b","2","258"
"consented_grp[1]/ucf_grp[1]/ucf13","1","259"
"consented_grp[1]/ucf_grp[1]/ucf14","2","261"
"consented_grp[1]/ucf_grp[1]/ucf15","4","263"
"consented_grp[1]/ucf_grp[1]/ucf16","3","265"
"consented_grp[1]/ucf_grp[1]/ucf17","2","269"
"consented_grp[1]/ucf_grp[1]/ucf18","2","271"
"consented_grp[1]/ucf_grp[1]/ucf19","3","273"
"consented_grp[1]/im2","13","277"
"consented_grp[1]/im5","1","290"
"consented_grp[1]/im6_note","1","291"
"consented_grp[1]/im6_rpt[1]/im6","7","292"
"consented_grp[1]/im6_rpt[1]/im6a","11","299"
"consented_grp[1]/im6_rpt[2]/im6","1","310"
"consented_grp[1]/im6_rpt[2]/im6a","6","311"
"consented_grp[1]/im6_rpt[3]/im6","6","317"
"consented_grp[1]/im6_rpt[3]/im6a","14","323"
"consented_grp[1]/im6_rpt[4]/im6","2","337"
"consented_grp[1]/im6_rpt[4]/im6a","8","338"
"consented_grp[1]/im6_rpt[5]/im6","2","346"
"consented_grp[1]/im6_rpt[5]/im6a","17","348"
"consented_grp[1]/im6_rpt[6]/im6","1","365"
"consented_grp[1]/im6_rpt[6]/im6a","5","367"
"consented_grp[1]/im6_rpt[7]/im6","5","372"
"consented_grp[1]/im6_rpt[7]/im6a","7","377"
"consented_grp[1]/im6_rpt[8]/im6","2","384"
"consented_grp[1]/im6_rpt[8]/im6a","9","386"
"consented_grp[1]/im6_rpt[9]/im6","1","395"
"consented_grp[1]/im6_rpt[9]/im6a","6","396"
"consented_grp[1]/im6_rpt[10]/im6","3","402"
"consented_grp[1]/im6_rpt[10]/im6a","6","405"
"consented_grp[1]/im6_rpt[11]/im6","6","411"
"consented_grp[1]/im6_rpt[11]/im6a","10","417"
"consented_grp[1]/im6_rpt[12]/im6","1","426"
"consented_grp[1]/im6_rpt[12]/im6a","6","427"
"consented_grp[1]/im6_rpt[13]/im6","1","433"
"consented_grp[1]/im6_rpt[13]/im6a","7","434"
"consented_grp[1]/im6_rpt[14]/im6","11","441"
"consented_grp[1]/im6_rpt[14]/im6a","56","453"
"consented_grp[1]/im6_rpt[15]/im6","14","481"
"consented_grp[1]/im6_rpt[15]/im6a","10","522"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","14","533"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","14","533"
