"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","3"
"enum_id","25","5"
"enum_confirm_grp[1]/enum_details","1","31"
"enum_confirm_grp[1]/enum_confirm","1","31"
"community_id","8","32"
"comm_confirm_grp[1]/comm_details","1","40"
"comm_confirm_grp[1]/comm_confirm","1","40"
"hhid_grp[1]/hhid_instruction","13","41"
"hhid_grp[1]/hhid_struct_num","13","41"
"hhid_grp[1]/hhid_hh_num","13","41"
"hhid_confirm_grp[1]/hhid_details","1","54"
"hhid_confirm_grp[1]/hhid_confirm","1","54"
"consent_grp[1]/consent_instr","270","55"
"consent_grp[1]/consent","270","55"
"consented_grp[1]/hh_note","2","325"
"consented_grp[1]/hhm_cnt","5","327"
"consented_grp[1]/rooster_note","7","332"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","36","337"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","36","337"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","36","337"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","372"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","5","375"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","5","379"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","5","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","16","385"
"consented_grp[1]/hhm_rpt[1]/ed4","7","400"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","7","406"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","411"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","4","414"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","417"
