"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","5","1"
"enum_id","20","6"
"enum_confirm_grp[1]/enum_details","2","26"
"enum_confirm_grp[1]/enum_confirm","2","26"
"community_id","9","27"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"iw_iden_grp[1]/iw_id","60","38"
"iw_iden_grp[1]/iw_fullname","60","38"
"iw_iden_grp[1]/iw_age","60","38"
"wm8","2","98"
"wm9_grp[1]/wm9b","4","100"
"wm9_grp[1]/consent","4","100"
"consented_grp[1]/wb3_age_sel","7","104"
"consented_grp[1]/wb4_age_est","3","110"
"consented_grp[1]/wb5","19","114"
"consented_grp[1]/wb5_grp[1]/wb6","2","133"
"consented_grp[1]/wb5_grp[1]/wb6a","3","135"
"consented_grp[1]/wb5_grp[1]/wb6b","2","138"
"consented_grp[1]/wb5_grp[1]/wb7","2","140"
"consented_grp[1]/wb5_grp[1]/wb10a","3","141"
"consented_grp[1]/wb5_grp[1]/wb10b","1","144"
"consented_grp[1]/wb5_grp[1]/wb12a","2","145"
"consented_grp[1]/wb5_grp[1]/wb12b","1","147"
"consented_grp[1]/wb14_grp[1]/wb14_note","12","148"
"consented_grp[1]/wb14_grp[1]/wb14","12","148"
"consented_grp[1]/wb15","67","160"
"consented_grp[1]/wb16_grp[1]/wb16a","65","228"
"consented_grp[1]/wb16_grp[1]/wb16_note","65","228"
"consented_grp[1]/wb16_grp[1]/wb16b","65","228"
"consented_grp[1]/wb17a","6","293"
"consented_grp[1]/wb17b","2","299"
"consented_grp[1]/wb18","2","302"
"consented_grp[1]/mt1","3","303"
"consented_grp[1]/mt2","17","306"
"consented_grp[1]/mt3","8","311"
"consented_grp[1]/mt4","9","331"
"consented_grp[1]/mt9","2","340"
"consented_grp[1]/mt11","9","342"
"consented_grp[1]/mt12","5","351"
"consented_grp[1]/cm1","2","356"
"consented_grp[1]/cm2","1","358"
"consented_grp[1]/cm2_grp[1]/cm3","13","360"
"consented_grp[1]/cm2_grp[1]/cm4","13","360"
"consented_grp[1]/cm5","2","373"
"consented_grp[1]/cm8","3","374"
"consented_grp[1]/cm8_grp[1]/cm9","38","377"
"consented_grp[1]/cm8_grp[1]/cm10","38","377"
"consented_grp[1]/cm12","16","412"
"consented_grp[1]/bh0","3","425"
"consented_grp[1]/bh_rpt[1]/bh1","25","427"
"consented_grp[1]/bh_rpt[1]/bh2","9","444"
"consented_grp[1]/bh_rpt[1]/bh3","77","446"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","11","538"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","66","549"
"consented_grp[1]/bh_rpt[1]/bh5","6","609"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","14","613"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","14","613"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","14","613"
"consented_grp[1]/bh_rpt[1]/bh10","4","626"
"consented_grp[1]/bh_rpt[2]/bh1","32","628"
"consented_grp[1]/bh_rpt[2]/bh2","2","649"
"consented_grp[1]/bh_rpt[2]/bh3","3","651"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","3","653"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","28","655"
"consented_grp[1]/bh_rpt[2]/bh5","5","668"
"consented_grp[1]/bh_rpt[2]/bh6","21","671"
"consented_grp[1]/bh_rpt[2]/bh7","7","691"
"consented_grp[1]/bh_rpt[2]/bh8","22","694"
"consented_grp[1]/bh_rpt[2]/bh10","7","704"
"consented_grp[1]/bh_rpt[3]/bh1","20","706"
"consented_grp[1]/bh_rpt[3]/bh2","14","718"
"consented_grp[1]/bh_rpt[3]/bh3","13","720"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","9","725"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","35","727"
