"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","10"
"enum_id","6","11"
"enum_confirm_grp[1]/enum_details","1","17"
"enum_confirm_grp[1]/enum_confirm","1","17"
"community_id","6","18"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"u5_iden_grp[1]/u5_id","61","25"
"u5_iden_grp[1]/u5_fullname","61","25"
"u5_iden_grp[1]/u5_age","61","25"
"u5_iden_grp[1]/u5_ct_id","61","25"
"u5_iden_grp[1]/u5_ct_fullname","61","25"
"gm1_a","11","82"
"gmobs1","1","96"
"gmobs2","1","97"
"an8","60","99"
"an9","5","100"
"an11_grp[1]/an11_a","72","101"
"an11_grp[1]/an11","72","101"
"an12","4","102"
"an13","2","103"
"an15","2","105"
