"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","0","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","6","7"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"u5_iden_grp[1]/u5_id","56","14"
"u5_iden_grp[1]/u5_fullname","56","14"
"u5_iden_grp[1]/u5_age","56","14"
"u5_iden_grp[1]/u5_ct_id","56","14"
"u5_iden_grp[1]/u5_ct_fullname","56","14"
"u5_check","2","60"
"uf9","2","71"
"consent_grp[1]/consent","1","73"
"consented_grp[1]/ub0","1","75"
"consented_grp[1]/ub1_age_sel","5","75"
"consented_grp[1]/ub1_dob_dmy","15","80"
"consented_grp[1]/ub5","4","95"
"consented_grp[1]/ub9","10","99"
"consented_grp[1]/br1","15","109"
"consented_grp[1]/br2","5","124"
"consented_grp[1]/br3","5","129"
"consented_grp[1]/ec1","2","133"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","20","135"
"consented_grp[1]/ec2_grp[1]/ec2_label","20","135"
"consented_grp[1]/ec2_grp[1]/ec2a","20","135"
"consented_grp[1]/ec2_grp[1]/ec2b","20","135"
"consented_grp[1]/ec2_grp[1]/ec2c","20","135"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","23","156"
"consented_grp[1]/ec3_grp[1]/ec3a","23","156"
"consented_grp[1]/ec3_grp[1]/ec3b","23","156"
"consented_grp[1]/ec7","2","179"
"consented_grp[1]/ec8","1","181"
"consented_grp[1]/ec9","6","182"
"consented_grp[1]/ec10","13","183"
"consented_grp[1]/ec11","11","202"
"consented_grp[1]/ec12","3","213"
"consented_grp[1]/ec13","8","216"
"consented_grp[1]/ec14","6","224"
"consented_grp[1]/ec15","25","230"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","79","255"
"consented_grp[1]/ucd2_grp[1]/ucd2a","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2b","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2c","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2d","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2e","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2f","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2g","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2h","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2i","79","255"
"consented_grp[1]/ucd2_grp[1]/ucb2j","79","255"
"consented_grp[1]/ucd3","18","335"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","353"
"consented_grp[1]/ucf_grp[1]/ucf5","2","369"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","371"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","374"
"consented_grp[1]/ucf_grp[1]/ucf13","1","375"
"consented_grp[1]/ucf_grp[1]/ucf14","1","376"
"consented_grp[1]/ucf_grp[1]/ucf15","1","377"
"consented_grp[1]/ucf_grp[1]/ucf16","1","378"
"consented_grp[1]/ucf_grp[1]/ucf17","1","380"
"consented_grp[1]/ucf_grp[1]/ucf18","2","381"
"consented_grp[1]/ucf_grp[1]/ucf19","32","383"
"consented_grp[1]/bd_grp[1]/bd2","3","415"
"consented_grp[1]/bd_grp[1]/bd3","3","418"
"consented_grp[1]/bd_grp[1]/bd4","9","421"
"consented_grp[1]/bd_grp[1]/bd5","15","430"
"consented_grp[1]/bd_grp[1]/bd6","17","445"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","37","462"
