"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","8"
"enum_id","10","10"
"enum_confirm_grp[1]/enum_details","2","20"
"enum_confirm_grp[1]/enum_confirm","2","20"
"community_id","12","22"
"comm_confirm_grp[1]/comm_details","2","33"
"comm_confirm_grp[1]/comm_confirm","2","33"
"hhid_grp[1]/hhid_instruction","133","36"
"hhid_grp[1]/hhid_struct_num","133","36"
"hhid_grp[1]/hhid_hh_num","133","36"
"hhid_confirm_grp[1]/hhid_details","5","168"
"hhid_confirm_grp[1]/hhid_confirm","5","168"
"consent_grp[1]/consent_instr","1986","173"
"consent_grp[1]/consent","1986","173"
"consented_grp[1]/hh_note","102","2159"
"consented_grp[1]/hhm_cnt","24","2260"
"consented_grp[1]/rooster_note","2","2285"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","2287"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","2287"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","2287"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","2327"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","2330"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","2333"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","6","2336"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","6","2339"
"consented_grp[1]/hhm_rpt[1]/ed4","11","2347"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","2358"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","2358"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","2362"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","2362"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","2362"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","2386"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","2388"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","2391"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","6","2394"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","2400"
"consented_grp[1]/hhm_rpt[2]/ed4","6","2403"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","2409"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","2409"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","2413"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","2413"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","2413"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","10","2440"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","2450"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","18","2453"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","49","2471"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","6","2520"
"consented_grp[1]/hhm_rpt[3]/ed4","11","2526"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","9","2538"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","11","2542"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","3","2557"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","4","2561"
"consented_grp[1]/hhm_rpt[3]/ed9","7","2564"
"consented_grp[1]/hhm_rpt[3]/ed15","2","2571"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","17","2574"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","17","2574"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","44","2591"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","44","2591"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","44","2591"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","9","2634"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","5","2643"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","6","2648"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl6_age_est","3","2654"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","4","2657"
"consented_grp[1]/hhm_rpt[4]/ed4","16","2662"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","2677"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","4","2680"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","9","2684"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","5","2693"
"consented_grp[1]/hhm_rpt[4]/ed9","6","2698"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","2703"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","7","2706"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","10","2712"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","2722"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","19","2724"
"consented_grp[1]/hhm_rpt[4]/ed15","9","2743"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","4","2752"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","4","2756"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","41","2760"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","41","2760"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","86","2801"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","86","2801"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","86","2801"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","12","2887"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","2899"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","4","2901"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl6_age_est","10","2906"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","5","2916"
"consented_grp[1]/hhm_rpt[5]/ed4","5","2922"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","9","2927"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","5","2933"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","4","2941"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","7","2944"
"consented_grp[1]/hhm_rpt[5]/ed9","6","2949"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","4","2954"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","7","2956"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","6","2961"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed13","6","2964"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","13","2969"
"consented_grp[1]/hhm_rpt[5]/ed15","14","2980"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","2","3010"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","2","3012"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","19","3014"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","19","3014"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","49","3033"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","49","3033"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","49","3033"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","8","3082"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","4","3090"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","4","3094"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","32","3098"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","3","3129"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","16","3133"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","16","3133"
"consented_grp[1]/hhm_ch_intro","29","3149"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","14","3151"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","4","3192"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","4","3196"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","7","3199"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","3206"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","3","3208"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","12","3211"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","15","3220"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","3231"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl15","8","3233"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","3","3248"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl19","5","3251"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_ct","40","3254"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_oth","3","3296"
"consented_grp[1]/hhm_ch_rpt[2]/ch_15_17_consent_grp[1]/ch_15_17_consent","21","3299"
"consented_grp[1]/hhm_ch_rpt[2]/ch_15_17_consent_grp[1]/ch_15_17_consent_yn","21","3299"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","22","3320"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","6","3342"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","2","3348"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","4","3350"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","2","3353"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl19","10","3356"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl12","17","3365"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl13a","4","3382"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl15","10","3386"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl16","5","3396"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl17a","5","3401"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl19","2","3406"
"consented_grp[1]/hhm_ch_rpt[4]/h20_grp[1]/hl20_ct","13","3408"
"consented_grp[1]/hhm_ch_rpt[4]/h20_grp[1]/hl20_oth","95","3421"
"consented_grp[1]/u5_rpt[1]/u5_note","110","3496"
"consented_grp[1]/hc_grp[1]/hc1a","9","3626"
"consented_grp[1]/hc_grp[1]/hc1b","9","3634"
"consented_grp[1]/hc_grp[1]/hc2","2","3643"
