"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","8","8"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"iw_iden_grp[1]/iw_id","46","18"
"iw_iden_grp[1]/iw_fullname","46","18"
"iw_iden_grp[1]/iw_age","46","18"
"wm8","2","64"
"wm9_grp[1]/wm9b","2","66"
"wm9_grp[1]/consent","2","66"
"consented_grp[1]/wb3_age_sel","8","68"
"consented_grp[1]/wb4_age_est","3","76"
"consented_grp[1]/wb5","3","79"
"consented_grp[1]/wb14_grp[1]/wb14_note","7","82"
"consented_grp[1]/wb14_grp[1]/wb14","7","82"
"consented_grp[1]/wb15","24","89"
"consented_grp[1]/wb16_grp[1]/wb16a","55","113"
"consented_grp[1]/wb16_grp[1]/wb16_note","55","113"
"consented_grp[1]/wb16_grp[1]/wb16b","55","113"
"consented_grp[1]/wb17a","27","168"
"consented_grp[1]/wb17b","18","195"
"consented_grp[1]/wb18","4","213"
"consented_grp[1]/mt1","3","217"
"consented_grp[1]/mt2","15","220"
"consented_grp[1]/mt3","5","235"
"consented_grp[1]/mt4","5","240"
"consented_grp[1]/mt9","4","245"
"consented_grp[1]/mt11","5","249"
"consented_grp[1]/mt12","23","254"
"consented_grp[1]/cm1","8","277"
"consented_grp[1]/cm2","13","284"
"consented_grp[1]/cm2_grp[1]/cm3","7","298"
"consented_grp[1]/cm2_grp[1]/cm4","7","298"
"consented_grp[1]/cm5","12","305"
"consented_grp[1]/cm5_grp[1]/cm6","15","317"
"consented_grp[1]/cm5_grp[1]/cm7","15","317"
"consented_grp[1]/cm8","11","333"
"consented_grp[1]/cm8_grp[1]/cm9","19","344"
"consented_grp[1]/cm8_grp[1]/cm10","19","344"
"consented_grp[1]/cm12","6","363"
"consented_grp[1]/bh0","1","369"
"consented_grp[1]/bh_rpt[1]/bh1","34","370"
"consented_grp[1]/bh_rpt[1]/bh2","7","404"
"consented_grp[1]/bh_rpt[1]/bh3","6","411"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","417"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","62","427"
"consented_grp[1]/bh_rpt[1]/bh5","3","489"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","44","492"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","44","492"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","44","492"
"consented_grp[1]/bh_rpt[1]/bh10","8","536"
"consented_grp[1]/bh_rpt[2]/bh1","24","539"
"consented_grp[1]/bh_rpt[2]/bh2","2","569"
"consented_grp[1]/bh_rpt[2]/bh3","3","571"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","26","574"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","11","600"
"consented_grp[1]/bh_rpt[2]/bh5","7","612"
"consented_grp[1]/bh_rpt[2]/bh6","19","618"
"consented_grp[1]/bh_rpt[2]/bh7","4","638"
"consented_grp[1]/bh_rpt[2]/bh10","6","641"
"consented_grp[1]/bh_rpt[3]/bh1","37","645"
"consented_grp[1]/bh_rpt[3]/bh2","2","685"
"consented_grp[1]/bh_rpt[3]/bh3","2","687"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","7","689"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","38","697"
"consented_grp[1]/bh_rpt[3]/bh5","13","728"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","30","747"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","30","747"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","30","747"
"consented_grp[1]/bh_rpt[3]/bh10","82","777"
"consented_grp[1]/bh_rpt[4]/bh1","22","859"
"consented_grp[1]/bh_rpt[4]/bh2","2","880"
"consented_grp[1]/bh_rpt[4]/bh3","4","882"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","7","886"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","19","893"
"consented_grp[1]/bh_rpt[4]/bh5","2","912"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","39","915"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","39","915"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","39","915"
"consented_grp[1]/bh_rpt[4]/bh10","12","954"
"consented_grp[1]/bh_rpt[5]/bh1","15","966"
"consented_grp[1]/bh_rpt[5]/bh2","16","981"
"consented_grp[1]/bh_rpt[5]/bh3","10","997"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","11","1007"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","13","1018"
"consented_grp[1]/bh_rpt[5]/bh5","2","1031"
"consented_grp[1]/bh_rpt[5]/bh6","8","1033"
"consented_grp[1]/bh_rpt[5]/bh7","7","1041"
"consented_grp[1]/bh_rpt[5]/bh8","23","1048"
"consented_grp[1]/bh_rpt[5]/bh10","3","1071"
"consented_grp[1]/bh_rpt[6]/bh1","15","1074"
"consented_grp[1]/bh_rpt[6]/bh2","2","1089"
"consented_grp[1]/bh_rpt[6]/bh3","2","1091"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","3","1093"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","14","1096"
"consented_grp[1]/bh_rpt[6]/bh5","2","1110"
"consented_grp[1]/bh_rpt[6]/bh6","7","1112"
"consented_grp[1]/bh_rpt[6]/bh7","3","1119"
"consented_grp[1]/bh_rpt[6]/bh8","9","1122"
"consented_grp[1]/bh_rpt[6]/bh10","3","1131"
"consented_grp[1]/db2","20","1134"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","12","1155"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","11","1167"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","4","1178"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","4","1178"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","11","1183"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","12","1194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","12","1194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","12","1194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","12","1194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","12","1194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","9","1206"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","9","1215"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","8","1225"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","16","1233"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn12","20","1243"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn14b","6","1261"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","15","1274"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","8","1289"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","7","1297"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","12","1304"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","11","1316"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","12","1327"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","18","1339"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","9","1357"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","12","1366"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","7","1378"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","16","1385"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","38","1401"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","9","1439"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","44","1448"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","17","1492"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","9","1509"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","31","1518"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","31","1518"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","13","1549"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","2","1562"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","17","1564"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","17","1564"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","19","1581"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","19","1581"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","9","1600"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","9","1600"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","16","1609"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","16","1609"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","5","1625"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","23","1630"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","23","1630"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","23","1630"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","23","1630"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","23","1630"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","4","1653"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","29","1657"
"consented_grp[1]/cp1_grp[1]/cp1_note","15","1686"
"consented_grp[1]/cp1_grp[1]/cp1","15","1686"
"consented_grp[1]/cp2_grp[1]/cp2_note","11","1701"
"consented_grp[1]/cp2_grp[1]/cp2","11","1701"
"consented_grp[1]/cp4","19","1712"
"consented_grp[1]/un7","11","1732"
"consented_grp[1]/un8_grp[1]/un8","12","1743"
"consented_grp[1]/un8_grp[1]/un8_units","12","1743"
"consented_grp[1]/ma1","10","1755"
"consented_grp[1]/ma2","6","1765"
"consented_grp[1]/ma3","27","1771"
"consented_grp[1]/ma7","8","1798"
"consented_grp[1]/ma8b","30","1802"
"consented_grp[1]/ma11b","14","1823"
"consented_grp[1]/af_grp[1]/af2","11","1850"
"consented_grp[1]/af_grp[1]/af3","3","1862"
"consented_grp[1]/af_grp[1]/af4","2","1864"
"consented_grp[1]/af_grp[1]/af6b","3","1866"
"consented_grp[1]/af_grp[1]/af8b","2","1869"
"consented_grp[1]/af_grp[1]/af9","2","1870"
"consented_grp[1]/af_grp[1]/af10","1","1872"
"consented_grp[1]/af_grp[1]/af11","1","1874"
"consented_grp[1]/af_grp[1]/af12","1","1875"
"consented_grp[1]/ls1_grp[1]/ls_note","76","1877"
"consented_grp[1]/ls1_grp[1]/ls1","76","1877"
"consented_grp[1]/ls2_grp[1]/ls2_note","86","1952"
"consented_grp[1]/ls2_grp[1]/ls2","86","1952"
"consented_grp[1]/ls3","52","2038"
"consented_grp[1]/ls4","1","2091"
"consented_grp[1]/survey_language","2","2092"
"consented_grp[1]/survey_accomp","3","2094"
"consented_grp[1]/survey_accomp_enum","3","2097"
"consented_grp[1]/comment","2","2100"
