"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","9"
"enum_id","6","10"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","5","17"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"iw_iden_grp[1]/iw_id","22","23"
"iw_iden_grp[1]/iw_fullname","22","23"
"iw_iden_grp[1]/iw_age","22","23"
"wm8","1","44"
"wm9_grp[1]/wm9b","2","45"
"wm9_grp[1]/consent","2","45"
"consented_grp[1]/wb3_age_sel","2","47"
"consented_grp[1]/wb3_dob_dmy","6","49"
"consented_grp[1]/wb5","2","55"
"consented_grp[1]/wb5_grp[1]/wb6","2","56"
"consented_grp[1]/wb5_grp[1]/wb6a","2","58"
"consented_grp[1]/wb5_grp[1]/wb6b","1","60"
"consented_grp[1]/wb5_grp[1]/wb7","2","61"
"consented_grp[1]/wb5_grp[1]/wb9","2","63"
"consented_grp[1]/wb5_grp[1]/wb10","1","66"
"consented_grp[1]/wb5_grp[1]/wb10a","2","67"
"consented_grp[1]/wb5_grp[1]/wb10b","1","69"
"consented_grp[1]/wb5_grp[1]/wb11","4","71"
"consented_grp[1]/wb5_grp[1]/wb12a","5","75"
"consented_grp[1]/wb5_grp[1]/wb12b","1","80"
"consented_grp[1]/wb15","12","81"
"consented_grp[1]/wb16_grp[1]/wb16a","14","93"
"consented_grp[1]/wb16_grp[1]/wb16_note","14","93"
"consented_grp[1]/wb16_grp[1]/wb16b","14","93"
"consented_grp[1]/wb17a","3","106"
"consented_grp[1]/wb17b","2","109"
"consented_grp[1]/wb18","3","111"
"consented_grp[1]/mt1","5","114"
"consented_grp[1]/mt2","4","118"
"consented_grp[1]/mt3","3","122"
"consented_grp[1]/mt4","2","125"
"consented_grp[1]/mt9","3","127"
"consented_grp[1]/mt11","2","131"
"consented_grp[1]/mt12","6","132"
"consented_grp[1]/cm1","2","139"
"consented_grp[1]/cm2","2","141"
"consented_grp[1]/cm2_grp[1]/cm3","4","142"
"consented_grp[1]/cm2_grp[1]/cm4","4","142"
