"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","7","5"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","14","13"
"comm_confirm_grp[1]/comm_details","1","26"
"comm_confirm_grp[1]/comm_confirm","1","26"
"hhid_grp[1]/hhid_instruction","15","27"
"hhid_grp[1]/hhid_struct_num","15","27"
"hhid_grp[1]/hhid_hh_num","15","27"
"hhid_confirm_grp[1]/hhid_details","39","35"
"hhid_confirm_grp[1]/hhid_confirm","39","35"
"consent_grp[1]/consent_instr","337","36"
"consent_grp[1]/consent","337","36"
"consented_grp[1]/hh_note","3","373"
"consented_grp[1]/hhm_cnt","16","376"
"consented_grp[1]/rooster_note","33","392"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","33","408"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","33","408"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","33","408"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","12","433"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","10","439"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","6","446"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","6","449"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","7","452"
"consented_grp[1]/hhm_rpt[1]/ed4","32","455"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","531"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","531"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","533"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","533"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","533"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","25","572"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","14","581"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","6","612"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","7","616"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","94","625"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","719"
"consented_grp[1]/hhm_rpt[2]/ed4","9","721"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","4","730"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","5","735"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","5","735"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","740"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","740"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","740"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","764"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","767"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","11","768"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl6_age_est","2","779"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","782"
"consented_grp[1]/hhm_rpt[3]/ed4","10","784"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","31","793"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","31","793"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","29","796"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","29","796"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","29","796"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","3","853"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","11","856"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","867"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl6_age_est","2","869"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","3","871"
"consented_grp[1]/hhm_rpt[4]/ed4","15","874"
"consented_grp[1]/hhm_rpt[4]/ed9","2","889"
"consented_grp[1]/hhm_rpt[4]/ed15","2","891"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","4","893"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","4","893"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","897"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","897"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","897"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","5","919"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","923"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","2","926"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl6_age_est","2","928"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","3","930"
"consented_grp[1]/hhm_rpt[5]/ed4","2","932"
"consented_grp[1]/hhm_rpt[5]/ed9","2","934"
"consented_grp[1]/hhm_rpt[5]/ed15","2","936"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","3","938"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","3","938"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","941"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","941"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","941"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","5","964"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","3","969"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","6","973"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","18","979"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","2","997"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","3","1000"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","3","1000"
"consented_grp[1]/hhm_ch_intro","89","1003"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","5","1090"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","4","1094"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","4","1097"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","5","1101"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_ct","3","1105"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_oth","3","1108"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","4","1110"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","3","1114"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","3","1117"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","3","1119"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_ct","3","1122"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_oth","3","1124"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","10","1126"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","3","1136"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","3","1139"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","4","1141"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","2","1144"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17b","7","1146"
"consented_grp[1]/u5_rpt[1]/u5_note","62","1152"
"consented_grp[1]/hc_grp[1]/hc1a","7","1265"
"consented_grp[1]/hc_grp[1]/hc1b","2","1279"
"consented_grp[1]/hc_grp[1]/hc2","2","1282"
"consented_grp[1]/hc_grp[1]/hc3","25","1284"
"consented_grp[1]/hc_grp[1]/hc4","8","1309"
"consented_grp[1]/hc_grp[1]/hc5","4","1317"
"consented_grp[1]/hc_grp[1]/hc6","5","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","21","1326"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","21","1326"
"consented_grp[1]/hc_grp[1]/hc8","4","1345"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","18","1351"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","18","1351"
"consented_grp[1]/hc_grp[1]/hc11","2","1369"
"consented_grp[1]/hc_grp[1]/hc12","7","1371"
"consented_grp[1]/hc_grp[1]/hc13","2","1378"
"consented_grp[1]/hc_grp[1]/hc14","19","1380"
"consented_grp[1]/hc_grp[1]/hc15","11","1399"
"consented_grp[1]/hc_grp[1]/hc17","7","1410"
"consented_grp[1]/hc_grp[1]/hc19","2","1417"
"consented_grp[1]/st_intonote","11","1419"
"consented_grp[1]/st_rpt[1]/st1a","18","1430"
"consented_grp[1]/st_rpt[2]/st1a","31","1448"
"consented_grp[1]/st_rpt[3]/st1a","35","1479"
"consented_grp[1]/st_rpt[3]/st1b","4","1514"
"consented_grp[1]/st_rpt[4]/st1a","14","1517"
"consented_grp[1]/st_rpt[5]/st1a","16","1532"
"consented_grp[1]/st_rpt[5]/st1_add_yn","2","1547"
"consented_grp[1]/eu1","11","1550"
"consented_grp[1]/eu2","2","1560"
"consented_grp[1]/eu4_grp[1]/eu4","3","1563"
"consented_grp[1]/eu5_grp[1]/eu5","10","1565"
"consented_grp[1]/eu6","12","1575"
"consented_grp[1]/eu9","23","1588"
"consented_grp[1]/tn1","67","1611"
"consented_grp[1]/irs1","8","1677"
"consented_grp[1]/ws1","32","1685"
"consented_grp[1]/ws3","5","1717"
"consented_grp[1]/ws4","25","1722"
"consented_grp[1]/ws5","23","1736"
"consented_grp[1]/ws6","13","1771"
"consented_grp[1]/ws7","20","1784"
"consented_grp[1]/ws8","19","1804"
"consented_grp[1]/ws9","134","1824"
"consented_grp[1]/ws11","57","1847"
"consented_grp[1]/ws14","17","2015"
"consented_grp[1]/ws15","10","2026"
"consented_grp[1]/ws16","2","2042"
"consented_grp[1]/hw1_grp[1]/hw1_note","7","2044"
"consented_grp[1]/hw1_grp[1]/hw1","7","2044"
"consented_grp[1]/hw5","8","2051"
"consented_grp[1]/death_note","20","2059"
"consented_grp[1]/dc0a","9","2078"
"consented_grp[1]/dc0b","7","2087"
"consented_grp[1]/dc1_rpt[1]/dc2b","22","2094"
"consented_grp[1]/dc1_rpt[1]/dc3","3","2116"
"consented_grp[1]/dc1_rpt[1]/dc4","78","2119"
"consented_grp[1]/dc1_rpt[1]/dc5","16","2175"
"consented_grp[1]/dc1_rpt[1]/dc6_grp[1]/dc6","28","2213"
"consented_grp[1]/dc1_rpt[1]/dc6_grp[1]/dc6_units","28","2213"
"consented_grp[1]/dc1_rpt[1]/dc7","17","2220"
"consented_grp[1]/dc1_rpt[1]/dc8a","13","2236"
"consented_grp[1]/dc1_rpt[1]/dc8d","2","2245"
"consented_grp[1]/dc1_rpt[1]/dc9a","8","2249"
"consented_grp[1]/dc1_rpt[1]/dc9b","12","2254"
"consented_grp[1]/main_respondent","26","2259"
"consented_grp[1]/survey_language","5","2269"
"consented_grp[1]/survey_accomp","5","2272"
"consented_grp[1]/survey_accomp_enum","36","2275"
"gps_backup","71","2279"
"comments","36","915"
