"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","34","12"
"comm_confirm_grp[1]/comm_details","96","46"
"comm_confirm_grp[1]/comm_confirm","96","46"
"u5_iden_grp[1]/u5_id","116","141"
"u5_iden_grp[1]/u5_fullname","116","141"
"u5_iden_grp[1]/u5_age","116","141"
"u5_iden_grp[1]/u5_ct_id","116","141"
"u5_iden_grp[1]/u5_ct_fullname","116","141"
"gm1_a","2","258"
"gm1_b","2","260"
"gm2_rpt[2]/gm2_grp[1]/gm3","6","262"
"gm2_rpt[2]/gm2_grp[1]/gm4","2","268"
"gm2_rpt[2]/gm2_grp[1]/gm5","3","270"
"gm2_rpt[2]/gm2_grp[1]/gm6","5","273"
"gm2_rpt[2]/gm2_grp[1]/gm7","2","278"
"gmobs1","2","280"
"gmobs2","2","282"
"an8","6","284"
"an9","4","289"
"an11_grp[1]/an11_a","24","291"
"an11_grp[1]/an11","24","291"
"an12","7","313"
"an13","5","317"
"an15","21","321"
