"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","7"
"enum_id","8","11"
"enum_confirm_grp[1]/enum_details","1","18"
"enum_confirm_grp[1]/enum_confirm","1","18"
"community_id","7","19"
"comm_confirm_grp[1]/comm_details","1","26"
"comm_confirm_grp[1]/comm_confirm","1","26"
"hhid_grp[1]/hhid_instruction","5","27"
"hhid_grp[1]/hhid_struct_num","5","27"
"hhid_grp[1]/hhid_hh_num","5","27"
"hhid_confirm_grp[1]/hhid_details","3","33"
"hhid_confirm_grp[1]/hhid_confirm","3","33"
"consent_grp[1]/consent_instr","322","35"
"consent_grp[1]/consent","322","35"
"consented_grp[1]/hh_note","82","357"
"consented_grp[1]/hhm_cnt","2","440"
"consented_grp[1]/rooster_note","1","442"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","443"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","443"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","443"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","463"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","465"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","466"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","468"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","470"
"consented_grp[1]/hhm_rpt[1]/ed4","9","475"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","13","483"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","6","496"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","3","502"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","4","504"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","6","506"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","6","506"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","48","515"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","48","515"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","48","515"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","12","563"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","575"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","29","579"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","15","607"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","5","622"
"consented_grp[1]/hhm_rpt[2]/ed4","4","627"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","10","632"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","12","642"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","5","654"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","5","660"
"consented_grp[1]/hhm_rpt[2]/ed9","5","665"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed10","5","669"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed11a","6","675"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed12","8","680"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed13","1","689"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed14","24","690"
"consented_grp[1]/hhm_rpt[2]/ed15","6","713"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","6","720"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","6","720"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","726"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","726"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","726"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","8","742"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","11","749"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","761"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","34","763"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","794"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","802"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","802"
"consented_grp[1]/hhm_ch_intro","2","805"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","4","807"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","3","811"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl15","2","813"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","3","815"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","3","818"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","3","821"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_ct","3","824"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_oth","3","827"
"consented_grp[1]/u5_rpt[1]/u5_note","51","830"
"consented_grp[1]/hc_grp[1]/hc1a","11","881"
"consented_grp[1]/hc_grp[1]/hc1b","6","892"
"consented_grp[1]/hc_grp[1]/hc2","5","898"
"consented_grp[1]/hc_grp[1]/hc3","12","903"
"consented_grp[1]/hc_grp[1]/hc4","5","915"
"consented_grp[1]/hc_grp[1]/hc5","4","920"
"consented_grp[1]/hc_grp[1]/hc6","3","924"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","48","927"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","48","927"
"consented_grp[1]/hc_grp[1]/hc8","5","975"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","26","980"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","26","980"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","26","980"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","26","980"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","26","980"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","26","980"
