"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"iw_iden_grp[1]/iw_id","22","14"
"iw_iden_grp[1]/iw_fullname","22","14"
"iw_iden_grp[1]/iw_age","22","14"
"wm8","4","35"
"wm9_grp[1]/wm9b","2","39"
"wm9_grp[1]/consent","2","39"
"consented_grp[1]/wb3_age_sel","2","41"
"consented_grp[1]/wb3_dob_dmy","11","42"
"consented_grp[1]/wb5","3","53"
"consented_grp[1]/wb14_grp[1]/wb14_note","8","56"
"consented_grp[1]/wb14_grp[1]/wb14","8","56"
"consented_grp[1]/wb15","19","64"
"consented_grp[1]/wb16_grp[1]/wb16a","25","83"
"consented_grp[1]/wb16_grp[1]/wb16_note","25","83"
"consented_grp[1]/wb16_grp[1]/wb16b","25","83"
"consented_grp[1]/wb17a","5","108"
"consented_grp[1]/wb17b","2","113"
"consented_grp[1]/wb18","2","115"
"consented_grp[1]/mt1","2","116"
"consented_grp[1]/mt2","6","119"
"consented_grp[1]/mt3","2","125"
"consented_grp[1]/mt4","3","127"
"consented_grp[1]/mt9","20","130"
"consented_grp[1]/mt11","4","149"
"consented_grp[1]/mt12","27","153"
"consented_grp[1]/cm1","2","180"
"consented_grp[1]/cm2","153","182"
"consented_grp[1]/cm2_grp[1]/cm3","4","335"
"consented_grp[1]/cm2_grp[1]/cm4","4","335"
"consented_grp[1]/cm5","3","340"
"consented_grp[1]/cm8","2","342"
"consented_grp[1]/cm8_grp[1]/cm9","4","344"
"consented_grp[1]/cm8_grp[1]/cm10","4","344"
"consented_grp[1]/cm12","2","348"
"consented_grp[1]/bh0","1","350"
"consented_grp[1]/bh_rpt[1]/bh1","11","351"
"consented_grp[1]/bh_rpt[1]/bh2","2","362"
