"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","13"
"enum_id","5","14"
"enum_confirm_grp[1]/enum_details","1","20"
"enum_confirm_grp[1]/enum_confirm","1","20"
"community_id","8","21"
"comm_confirm_grp[1]/comm_details","1","28"
"comm_confirm_grp[1]/comm_confirm","1","28"
"u5_iden_grp[1]/u5_id","92","29"
"u5_iden_grp[1]/u5_fullname","92","29"
"u5_iden_grp[1]/u5_age","92","29"
"u5_iden_grp[1]/u5_ct_id","92","29"
"u5_iden_grp[1]/u5_ct_fullname","92","29"
"gm1_a","2","121"
"gm1_b","3","123"
"gm2_rpt[1]/gm2_grp[1]/gm3","16","127"
"gm2_rpt[1]/gm2_grp[1]/gm4","3","142"
"gm2_rpt[1]/gm2_grp[1]/gm5","8","145"
"gm2_rpt[1]/gm2_grp[1]/gm6","5","153"
"gm2_rpt[1]/gm2_grp[1]/gm7","5","158"
"gmobs1","3","163"
"gmobs2","3","166"
"an8","35","169"
"an9","2","205"
"an11_grp[1]/an11_a","9","206"
"an11_grp[1]/an11","9","206"
"an12","3","215"
"an13","2","218"
"an15","1","220"
