"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"iw_iden_grp[1]/iw_id","22","15"
"iw_iden_grp[1]/iw_fullname","22","15"
"iw_iden_grp[1]/iw_age","22","15"
"wm8","1","36"
"wm9_grp[1]/wm9b","1","38"
"wm9_grp[1]/consent","1","38"
"consented_grp[1]/wb3_age_sel","4","39"
"consented_grp[1]/wb3_dob_dmy","20","43"
"consented_grp[1]/age_correct_info","8","51"
"consented_grp[1]/wb5","5","70"
"consented_grp[1]/wb5_grp[1]/wb6","3","75"
"consented_grp[1]/wb5_grp[1]/wb6a","2","78"
"consented_grp[1]/wb5_grp[1]/wb6b","2","80"
"consented_grp[1]/wb5_grp[1]/wb7","4","81"
"consented_grp[1]/wb5_grp[1]/wb10a","3","85"
"consented_grp[1]/wb5_grp[1]/wb10b","1","88"
"consented_grp[1]/wb5_grp[1]/wb12a","2","89"
"consented_grp[1]/wb5_grp[1]/wb12b","1","90"
"consented_grp[1]/wb14_grp[1]/wb14_note","20","91"
"consented_grp[1]/wb14_grp[1]/wb14","20","91"
"consented_grp[1]/wb15","2","111"
"consented_grp[1]/wb16_grp[1]/wb16a","18","113"
"consented_grp[1]/wb16_grp[1]/wb16_note","18","113"
"consented_grp[1]/wb16_grp[1]/wb16b","18","113"
"consented_grp[1]/wb17a","4","131"
"consented_grp[1]/wb17b","3","135"
"consented_grp[1]/wb17c","20","138"
"consented_grp[1]/wb18","9","158"
"consented_grp[1]/mt1","4","167"
"consented_grp[1]/mt2","3","171"
"consented_grp[1]/mt3","4","174"
"consented_grp[1]/mt4","9","178"
"consented_grp[1]/mt9","5","187"
"consented_grp[1]/mt11","3","191"
"consented_grp[1]/mt12","9","195"
"consented_grp[1]/cm1","30","203"
"consented_grp[1]/cm2","3","234"
"consented_grp[1]/cm2_grp[1]/cm3","4","236"
"consented_grp[1]/cm2_grp[1]/cm4","4","236"
"consented_grp[1]/cm5","2","241"
"consented_grp[1]/cm5_grp[1]/cm6","21","243"
"consented_grp[1]/cm5_grp[1]/cm7","21","243"
"consented_grp[1]/cm8","8","264"
"consented_grp[1]/cm12","2","272"
"consented_grp[1]/bh0","3","273"
"consented_grp[1]/bh_rpt[1]/bh1","7","276"
"consented_grp[1]/bh_rpt[1]/bh2","4","282"
"consented_grp[1]/bh_rpt[1]/bh3","2","286"
