"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","9","4"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","10","14"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"iw_iden_grp[1]/iw_id","46","25"
"iw_iden_grp[1]/iw_fullname","46","25"
"iw_iden_grp[1]/iw_age","46","25"
"wm8","2","71"
"wm9_grp[1]/wm9b","2","73"
"wm9_grp[1]/consent","2","73"
"consented_grp[1]/wb3_age_sel","4","75"
"consented_grp[1]/wb4_age_est","2","79"
"consented_grp[1]/wb5","10","82"
"consented_grp[1]/wb5_grp[1]/wb6","3","91"
"consented_grp[1]/wb5_grp[1]/wb6a","27","94"
"consented_grp[1]/wb5_grp[1]/wb6b","1117","121"
"consented_grp[1]/wb5_grp[1]/wb7","16","1238"
"consented_grp[1]/wb5_grp[1]/wb10a","2","1254"
"consented_grp[1]/wb5_grp[1]/wb10b","1","1257"
"consented_grp[1]/wb5_grp[1]/wb12a","3","1258"
"consented_grp[1]/wb5_grp[1]/wb12b","2","1261"
"consented_grp[1]/wb15","21","1263"
"consented_grp[1]/wb16_grp[1]/wb16a","12","1265"
"consented_grp[1]/wb16_grp[1]/wb16_note","12","1265"
"consented_grp[1]/wb16_grp[1]/wb16b","12","1265"
"consented_grp[1]/wb17a","13","1295"
"consented_grp[1]/wb17b","2","1309"
"consented_grp[1]/wb18","2","1311"
"consented_grp[1]/mt1","3","1313"
"consented_grp[1]/mt2","1","1316"
"consented_grp[1]/mt3","3","1317"
"consented_grp[1]/mt4","3","1320"
"consented_grp[1]/mt9","5","1324"
"consented_grp[1]/mt11","2","1329"
"consented_grp[1]/mt12","7","1331"
"consented_grp[1]/cm1","9","1338"
"consented_grp[1]/cm2","3","1347"
"consented_grp[1]/cm2_grp[1]/cm3","8","1351"
"consented_grp[1]/cm2_grp[1]/cm4","8","1351"
"consented_grp[1]/cm5","4","1359"
"consented_grp[1]/cm8","2","1363"
"consented_grp[1]/cm12","3","1365"
"consented_grp[1]/bh0","1","1368"
"consented_grp[1]/bh_rpt[1]/bh1","54","1369"
"consented_grp[1]/bh_rpt[1]/bh2","393","1419"
"consented_grp[1]/bh_rpt[1]/bh3","7","1816"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","1823"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","55","1825"
"consented_grp[1]/bh_rpt[1]/bh5","3","1880"
"consented_grp[1]/bh_rpt[1]/bh6","5","1883"
"consented_grp[1]/bh_rpt[1]/bh7","3","1888"
"consented_grp[1]/bh_rpt[1]/bh8","14","1892"
"consented_grp[1]/bh_rpt[1]/bh10","14","1905"
"consented_grp[1]/bh_rpt[2]/bh1","12","1920"
"consented_grp[1]/bh_rpt[2]/bh2","2","1931"
"consented_grp[1]/bh_rpt[2]/bh3","2","1933"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","28","1935"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","11","1963"
"consented_grp[1]/bh_rpt[2]/bh5","2","1975"
"consented_grp[1]/bh_rpt[2]/bh6","3","1977"
"consented_grp[1]/bh_rpt[2]/bh7","3","1981"
"consented_grp[1]/bh_rpt[2]/bh8","13","1984"
"consented_grp[1]/bh_rpt[2]/bh10","7","1997"
"consented_grp[1]/db2","2","2004"
"consented_grp[1]/db4_b","5","2006"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","8","2011"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","3","2019"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","10","2021"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","10","2021"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","10","2031"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","7","2041"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","7","2041"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","7","2041"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","7","2041"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","7","2041"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","11","2048"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","6","2059"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","5","2066"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","12","2071"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","5","2083"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","2088"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","7","2090"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","8","2096"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","3","2104"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","2","2108"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","10","2110"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","3","2115"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","27","2123"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","4","2149"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","2","2154"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","17","2156"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","3","2173"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","18","2176"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","18","2176"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","8","2184"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","4","2201"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","19","2205"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","19","2205"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","3","2225"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn39a","2","2227"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","2","2230"
