"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","5","11"
"comm_confirm_grp[1]/comm_details","3","17"
"comm_confirm_grp[1]/comm_confirm","3","17"
"u5_iden_grp[1]/u5_id","68","19"
"u5_iden_grp[1]/u5_fullname","68","19"
"u5_iden_grp[1]/u5_age","68","19"
"u5_iden_grp[1]/u5_ct_id","68","19"
"u5_iden_grp[1]/u5_ct_fullname","68","19"
"uf9","2","87"
"consent_grp[1]/consent","10","89"
"consented_grp[1]/ub0","18","99"
"consented_grp[1]/ub1_age_sel","6","117"
"consented_grp[1]/ub1_dob_dmy","10","123"
"consented_grp[1]/ub5","5","133"
"consented_grp[1]/ub9","23","138"
"consented_grp[1]/br1","44","161"
"consented_grp[1]/br2","40","205"
"consented_grp[1]/br3","7","239"
"consented_grp[1]/ec1","15","252"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","42","267"
"consented_grp[1]/ec2_grp[1]/ec2_label","42","267"
"consented_grp[1]/ec2_grp[1]/ec2a","42","267"
"consented_grp[1]/ec2_grp[1]/ec2b","42","267"
"consented_grp[1]/ec2_grp[1]/ec2c","42","267"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","43","309"
"consented_grp[1]/ec3_grp[1]/ec3a","43","309"
"consented_grp[1]/ec3_grp[1]/ec3b","43","309"
"consented_grp[1]/ec7","5","352"
"consented_grp[1]/ec8","4","356"
"consented_grp[1]/ec9","5","360"
"consented_grp[1]/ec10","27","365"
"consented_grp[1]/ec11","10","392"
"consented_grp[1]/ec12","7","402"
"consented_grp[1]/ec13","21","409"
"consented_grp[1]/ec14","10","430"
"consented_grp[1]/ec15","7","441"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","120","447"
"consented_grp[1]/ucd2_grp[1]/ucd2a","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2b","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2c","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2d","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2e","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2f","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2g","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2h","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2i","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2j","120","447"
"consented_grp[1]/ucd2_grp[1]/ucb2k","120","447"
"consented_grp[1]/ucd3","9","567"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","46","576"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","46","576"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","46","576"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","46","576"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","46","576"
"consented_grp[1]/ucf_grp[1]/ucf5","21","622"
"consented_grp[1]/ucf_grp[1]/ucf7b","5","643"
"consented_grp[1]/ucf_grp[1]/ucf9b","7","648"
"consented_grp[1]/ucf_grp[1]/ucf13","9","654"
"consented_grp[1]/ucf_grp[1]/ucf14","13","663"
"consented_grp[1]/ucf_grp[1]/ucf15","6","676"
"consented_grp[1]/ucf_grp[1]/ucf16","11","683"
"consented_grp[1]/ucf_grp[1]/ucf17","21","694"
"consented_grp[1]/ucf_grp[1]/ucf18","14","705"
"consented_grp[1]/ucf_grp[1]/ucf19","42","728"
"consented_grp[1]/bd_grp[1]/bd2","8","770"
"consented_grp[1]/bd_grp[1]/bd3","5","779"
"consented_grp[1]/bd_grp[1]/bd4","12","783"
"consented_grp[1]/bd_grp[1]/bd5","39","795"
"consented_grp[1]/bd_grp[1]/bd6","23","834"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","30","857"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","30","857"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","30","857"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","30","857"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","30","857"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","30","857"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","10","887"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","10","887"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","11","897"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","11","897"
"consented_grp[1]/bd_grp[1]/bd8","11","908"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","919"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","6","920"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","926"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","9","927"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","14","936"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","4","950"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","9","954"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","10","963"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","10","973"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","7","983"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","14","990"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h2","2","1004"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","13","1006"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","17","1019"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","5","1036"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","6","1041"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","2","1047"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","18","1049"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","9","1067"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","17","1076"
"consented_grp[1]/im2","34","1092"
"consented_grp[1]/im5","4","1127"
"consented_grp[1]/im6_note","5","1131"
"consented_grp[1]/im6_rpt[1]/im6","15","1132"
"consented_grp[1]/im6_rpt[1]/im6a","13","1145"
"consented_grp[1]/im6_rpt[2]/im6","4","1154"
"consented_grp[1]/im6_rpt[2]/im6a","21","1156"
"consented_grp[1]/im6_rpt[3]/im6","4","1180"
"consented_grp[1]/im6_rpt[3]/im6a","15","1183"
"consented_grp[1]/im6_rpt[4]/im6","2","1197"
"consented_grp[1]/im6_rpt[4]/im6a","14","1199"
"consented_grp[1]/im6_rpt[5]/im6","6","1209"
"consented_grp[1]/im6_rpt[5]/im6a","15","1213"
"consented_grp[1]/im6_rpt[6]/im6","2","1230"
"consented_grp[1]/im6_rpt[6]/im6a","8","1232"
"consented_grp[1]/im6_rpt[7]/im6","2","1239"
"consented_grp[1]/im6_rpt[7]/im6a","14","1241"
"consented_grp[1]/im6_rpt[8]/im6","2","1252"
"consented_grp[1]/im6_rpt[8]/im6a","9","1254"
"consented_grp[1]/im6_rpt[9]/im6","2","1261"
"consented_grp[1]/im6_rpt[9]/im6a","12","1262"
"consented_grp[1]/im6_rpt[10]/im6","4","1273"
"consented_grp[1]/im6_rpt[10]/im6a","16","1276"
"consented_grp[1]/im6_rpt[11]/im6","9","1286"
"consented_grp[1]/im6_rpt[11]/im6a","8","1295"
"consented_grp[1]/im6_rpt[12]/im6","12","1301"
"consented_grp[1]/im6_rpt[12]/im6a","9","1302"
"consented_grp[1]/im6_rpt[13]/im6","2","1308"
"consented_grp[1]/im6_rpt[13]/im6a","18","1310"
"consented_grp[1]/im6_rpt[14]/im6","12","1317"
"consented_grp[1]/im6_rpt[14]/im6a","27","1327"
"consented_grp[1]/im6_rpt[15]/im6","4","1348"
"consented_grp[1]/im6_rpt[15]/im6a","12","1349"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","71","1356"
"consented_grp[1]/im8_im27_grp[1]/im9","33","1483"
"consented_grp[1]/ca1","15","1531"
"consented_grp[1]/ca14","9","1547"
"consented_grp[1]/ca16","9","1556"
"consented_grp[1]/ca17","12","1565"
"consented_grp[1]/ca31","24","1577"
"comments","4","1601"
