"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","2","2"
"enum_confirm_grp[1]/enum_details","1","5"
"enum_confirm_grp[1]/enum_confirm","1","5"
"community_id","10","6"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","54","16"
"u5_iden_grp[1]/u5_fullname","54","16"
"u5_iden_grp[1]/u5_age","54","16"
"u5_iden_grp[1]/u5_ct_id","54","16"
"u5_iden_grp[1]/u5_ct_fullname","54","16"
"uf9","5","70"
"consent_grp[1]/consent","3","76"
"consented_grp[1]/ub0","1","79"
"consented_grp[1]/ub1_age_sel","3","80"
"consented_grp[1]/ub1_dob_dmy","9","83"
"consented_grp[1]/ub5","2","93"
"consented_grp[1]/ub6","1","94"
"consented_grp[1]/ub9","2","95"
"consented_grp[1]/br1","9","97"
"consented_grp[1]/br2","2","106"
"consented_grp[1]/br3","3","108"
"consented_grp[1]/ec1","2","111"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","11","113"
"consented_grp[1]/ec2_grp[1]/ec2_label","11","113"
"consented_grp[1]/ec2_grp[1]/ec2a","11","113"
"consented_grp[1]/ec2_grp[1]/ec2b","11","113"
"consented_grp[1]/ec2_grp[1]/ec2c","11","113"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","21","123"
"consented_grp[1]/ec3_grp[1]/ec3a","21","123"
"consented_grp[1]/ec3_grp[1]/ec3b","21","123"
"consented_grp[1]/ec5_grp[1]/ec5","12","145"
"consented_grp[1]/ec5_grp[1]/ec5_label","12","145"
"consented_grp[1]/ec5_grp[1]/ec5a","12","145"
"consented_grp[1]/ec5_grp[1]/ec5b","12","145"
"consented_grp[1]/ec5_grp[1]/ec5c","12","145"
"consented_grp[1]/ec5_grp[1]/ec5d","12","145"
"consented_grp[1]/ec5_grp[1]/ec5e","12","145"
"consented_grp[1]/ec5_grp[1]/ec5f","12","145"
"consented_grp[1]/ec6_grp[1]/ec6_note","6","156"
"consented_grp[1]/ec6_grp[1]/ec6","6","156"
"consented_grp[1]/ec7","1","162"
"consented_grp[1]/ec8","2","163"
"consented_grp[1]/ec9","3","165"
"consented_grp[1]/ec10","10","168"
"consented_grp[1]/ec11","7","178"
"consented_grp[1]/ec12","7","186"
"consented_grp[1]/ec13","3","193"
"consented_grp[1]/ec14","10","196"
"consented_grp[1]/ec15","4","206"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","43","210"
"consented_grp[1]/ucd2_grp[1]/ucd2a","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2b","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2c","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2d","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2e","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2f","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2g","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2h","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2i","43","210"
"consented_grp[1]/ucd2_grp[1]/ucb2j","43","210"
"consented_grp[1]/ucd3","12","253"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","11","265"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","11","265"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","11","265"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","11","265"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","11","265"
"consented_grp[1]/ucf_grp[1]/ucf5","2","276"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","278"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","280"
"consented_grp[1]/ucf_grp[1]/ucf13","1","281"
"consented_grp[1]/ucf_grp[1]/ucf14","1","282"
"consented_grp[1]/ucf_grp[1]/ucf15","1","283"
"consented_grp[1]/ucf_grp[1]/ucf16","1","284"
"consented_grp[1]/ucf_grp[1]/ucf17","1","285"
"consented_grp[1]/ucf_grp[1]/ucf18","2","287"
"consented_grp[1]/ucf_grp[1]/ucf19","3","288"
"consented_grp[1]/im2","2","291"
"consented_grp[1]/im5","2","293"
"consented_grp[1]/im6_note","1","295"
"consented_grp[1]/im6_rpt[1]/im6","19","296"
"consented_grp[1]/im6_rpt[1]/im6a","13","315"
"consented_grp[1]/im6_rpt[2]/im6","3","328"
"consented_grp[1]/im6_rpt[2]/im6a","22","331"
"consented_grp[1]/im6_rpt[3]/im6","2","353"
