"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","10","5"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","6","15"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"hhid_grp[1]/hhid_instruction","105","23"
"hhid_grp[1]/hhid_struct_num","105","23"
"hhid_grp[1]/hhid_hh_num","105","23"
"hhid_confirm_grp[1]/hhid_details","107","128"
"hhid_confirm_grp[1]/hhid_confirm","107","128"
"consent_grp[1]/consent_instr","240","129"
"consent_grp[1]/consent","240","129"
"consented_grp[1]/hh_note","1","475"
"consented_grp[1]/hhm_cnt","7","476"
"consented_grp[1]/rooster_note","1","484"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","32","485"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","32","485"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","32","485"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","517"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","518"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","522"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","59","524"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","583"
"consented_grp[1]/hhm_rpt[1]/ed4","7","584"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","13","591"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","5","604"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","12","609"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","8","621"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","629"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","629"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","33","631"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","33","631"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","33","631"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","664"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","665"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","6","667"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_my","0","669"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","20","673"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","694"
"consented_grp[1]/hhm_rpt[2]/ed4","4","695"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","699"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","7","702"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","709"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","2","711"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","713"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","713"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","717"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","717"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","717"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","5","741"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","1","746"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","747"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","16","749"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","1","765"
"consented_grp[1]/hhm_rpt[3]/ed4","1","766"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","6","768"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","6","774"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","780"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","1","782"
"consented_grp[1]/hhm_rpt[3]/ed9","2","783"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","4","785"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","3","789"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","22","793"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","1","815"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","3","817"
"consented_grp[1]/hhm_rpt[3]/ed15","4","820"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","824"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","5","826"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","831"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","831"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","833"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","833"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","833"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","10","855"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","865"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","867"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","14","869"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","883"
