"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","5"
"enum_id","35","6"
"enum_confirm_grp[1]/enum_details","1","41"
"enum_confirm_grp[1]/enum_confirm","1","41"
"community_id","6","42"
"comm_confirm_grp[1]/comm_details","1","48"
"comm_confirm_grp[1]/comm_confirm","1","48"
"u5_iden_grp[1]/u5_id","104","50"
"u5_iden_grp[1]/u5_fullname","104","50"
"u5_iden_grp[1]/u5_age","104","50"
"u5_iden_grp[1]/u5_ct_id","104","50"
"u5_iden_grp[1]/u5_ct_fullname","104","50"
"uf9","3","143"
"consent_grp[1]/uf10a","4","156"
"consent_grp[1]/consent","4","156"
"consented_grp[1]/ub0","1","160"
"consented_grp[1]/ub1_age_sel","1","161"
"consented_grp[1]/ub1_dob_dmy","14","162"
"consented_grp[1]/ub5","2","177"
"consented_grp[1]/ub9","3","178"
"consented_grp[1]/br1","10","182"
"consented_grp[1]/ec1","2","192"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","13","194"
"consented_grp[1]/ec2_grp[1]/ec2_label","13","194"
"consented_grp[1]/ec2_grp[1]/ec2a","13","194"
"consented_grp[1]/ec2_grp[1]/ec2b","13","194"
"consented_grp[1]/ec2_grp[1]/ec2c","13","194"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","11","207"
"consented_grp[1]/ec3_grp[1]/ec3a","11","207"
"consented_grp[1]/ec3_grp[1]/ec3b","11","207"
"consented_grp[1]/ec7","3","218"
"consented_grp[1]/ec8","1","221"
"consented_grp[1]/ec9","8","222"
"consented_grp[1]/ec10","2","229"
"consented_grp[1]/ec11","9","231"
"consented_grp[1]/ec12","7","239"
"consented_grp[1]/ec13","5","247"
"consented_grp[1]/ec14","10","252"
"consented_grp[1]/ec15","8","260"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","104","270"
"consented_grp[1]/ucd2_grp[1]/ucd2a","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2b","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2c","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2d","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2e","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2f","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2g","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2h","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2i","104","270"
"consented_grp[1]/ucd2_grp[1]/ucb2j","104","270"
"consented_grp[1]/ucd3","9","346"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","384"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","384"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","384"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","384"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","384"
"consented_grp[1]/ucf_grp[1]/ucf5","4","400"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","404"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","406"
"consented_grp[1]/ucf_grp[1]/ucf13","6","408"
"consented_grp[1]/ucf_grp[1]/ucf14","4","414"
"consented_grp[1]/ucf_grp[1]/ucf15","10","418"
"consented_grp[1]/ucf_grp[1]/ucf16","13","422"
"consented_grp[1]/ucf_grp[1]/ucf17","8","438"
"consented_grp[1]/ucf_grp[1]/ucf18","7","445"
"consented_grp[1]/ucf_grp[1]/ucf19","4","456"
"consented_grp[1]/bd_grp[1]/bd2","4","458"
"consented_grp[1]/bd_grp[1]/bd4","19","459"
"consented_grp[1]/bd_grp[1]/bd3","3","465"
"consented_grp[1]/bd_grp[1]/bd5","3","479"
"consented_grp[1]/bd_grp[1]/bd6","20","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","21","508"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","21","508"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","21","508"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","21","508"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","21","508"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","21","508"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","529"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","529"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","532"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","532"
"consented_grp[1]/bd_grp[1]/bd8","2","535"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","2","537"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","539"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","541"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","542"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","1","544"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","1","545"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","11","546"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","14","553"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","1","571"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","21","573"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","6","593"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","6","595"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","6","605"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h2","4","612"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","616"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","8","618"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","6","622"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","2","632"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","3","633"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","10","636"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","7","644"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","4","649"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","2","658"
"consented_grp[1]/im2","1","659"
"consented_grp[1]/im5","1","660"
"consented_grp[1]/im6_note","1","661"
"consented_grp[1]/im6_rpt[1]/im6","1","662"
"consented_grp[1]/im6_rpt[1]/im6a","18","663"
"consented_grp[1]/im6_rpt[2]/im6","1","681"
"consented_grp[1]/im6_rpt[2]/im6a","15","682"
"consented_grp[1]/im6_rpt[3]/im6","2","697"
"consented_grp[1]/im6_rpt[3]/im6a","17","699"
"consented_grp[1]/im6_rpt[4]/im6","1","716"
"consented_grp[1]/im6_rpt[4]/im6a","14","717"
"consented_grp[1]/im6_rpt[5]/im6","2","731"
"consented_grp[1]/im6_rpt[5]/im6a","9","733"
"consented_grp[1]/im6_rpt[6]/im6","2","742"
"consented_grp[1]/im6_rpt[6]/im6a","13","744"
"consented_grp[1]/im6_rpt[7]/im6","2","757"
"consented_grp[1]/im6_rpt[7]/im6a","21","758"
"consented_grp[1]/im6_rpt[8]/im6","1","780"
"consented_grp[1]/im6_rpt[8]/im6a","12","781"
"consented_grp[1]/im6_rpt[9]/im6","1","793"
"consented_grp[1]/im6_rpt[9]/im6a","17","794"
"consented_grp[1]/im6_rpt[10]/im6","1","812"
"consented_grp[1]/im6_rpt[10]/im6a","14","813"
"consented_grp[1]/im6_rpt[11]/im6","1","827"
"consented_grp[1]/im6_rpt[11]/im6a","22","828"
"consented_grp[1]/im6_rpt[12]/im6","1","850"
"consented_grp[1]/im6_rpt[12]/im6a","28","851"
"consented_grp[1]/im6_rpt[13]/im6","1","879"
"consented_grp[1]/im6_rpt[13]/im6a","16","880"
"consented_grp[1]/im6_rpt[14]/im6","3","895"
"consented_grp[1]/im6_rpt[14]/im6a","42","896"
"consented_grp[1]/im6_rpt[15]/im6","3","935"
"consented_grp[1]/im6_rpt[15]/im6a","19","937"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","41","963"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","41","963"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","41","963"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","41","963"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","41","963"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","41","963"
"consented_grp[1]/im8_im27_grp[1]/im9","9","1004"
"consented_grp[1]/ca1","15","1013"
"consented_grp[1]/ca14","25","1028"
"consented_grp[1]/ca15","9","1031"
"consented_grp[1]/ca16","18","1034"
"consented_grp[1]/ca17","1","1080"
"consented_grp[1]/ca20","16","1081"
"consented_grp[1]/ca21","8","1097"
"consented_grp[1]/ca22","4","1103"
"consented_grp[1]/ca31","4","1109"
"consented_grp[1]/gps_backup","3","1113"
"comments","2","1115"
