"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","4","7"
"comm_confirm_grp[1]/comm_details","5","10"
"comm_confirm_grp[1]/comm_confirm","5","10"
"iw_iden_grp[1]/iw_id","34","15"
"iw_iden_grp[1]/iw_fullname","34","15"
"iw_iden_grp[1]/iw_age","34","15"
"wm8","2","49"
"wm9_grp[1]/wm9b","2","51"
"wm9_grp[1]/consent","2","51"
"consented_grp[1]/wb3_age_sel","1","53"
"consented_grp[1]/wb3_dob_dmy","13","54"
"consented_grp[1]/wb5","1","67"
"consented_grp[1]/wb5_grp[1]/wb6","2","69"
"consented_grp[1]/wb5_grp[1]/wb6a","1","70"
"consented_grp[1]/wb5_grp[1]/wb6b","2","72"
"consented_grp[1]/wb5_grp[1]/wb7","2","73"
"consented_grp[1]/wb5_grp[1]/wb10a","1","75"
"consented_grp[1]/wb5_grp[1]/wb10b","1","76"
"consented_grp[1]/wb5_grp[1]/wb12a","1","77"
"consented_grp[1]/wb5_grp[1]/wb12b","1","78"
"consented_grp[1]/wb15","19","79"
"consented_grp[1]/wb16_grp[1]/wb16a","10","99"
"consented_grp[1]/wb16_grp[1]/wb16_note","10","99"
"consented_grp[1]/wb16_grp[1]/wb16b","10","99"
"consented_grp[1]/wb17a","2","109"
"consented_grp[1]/wb17b","2","112"
"consented_grp[1]/wb18","2","113"
"consented_grp[1]/mt1","2","115"
"consented_grp[1]/mt2","5","117"
"consented_grp[1]/mt3","3","122"
"consented_grp[1]/mt4","2","124"
"consented_grp[1]/mt9","2","126"
"consented_grp[1]/mt11","2","128"
"consented_grp[1]/mt12","2","130"
"consented_grp[1]/cm1","1","132"
"consented_grp[1]/cm2","1","134"
"consented_grp[1]/cm2_grp[1]/cm3","7","135"
"consented_grp[1]/cm2_grp[1]/cm4","7","135"
