"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","24","11"
"comm_confirm_grp[1]/comm_details","1","35"
"comm_confirm_grp[1]/comm_confirm","1","35"
"u5_iden_grp[1]/u5_id","113","36"
"u5_iden_grp[1]/u5_fullname","113","36"
"u5_iden_grp[1]/u5_age","113","36"
"u5_iden_grp[1]/u5_ct_id","113","36"
"u5_iden_grp[1]/u5_ct_fullname","113","36"
"gm1_a","4","149"
"gmobs1","2","153"
"gmobs2","2","156"
"an8","8","158"
"an9","2","166"
"an11_grp[1]/an11_b","5","168"
"an11_grp[1]/an11","5","168"
"an12","2","173"
"an13","7","175"
"an15","1","182"
