"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","2","10"
"enum_confirm_grp[1]/enum_confirm","2","10"
"community_id","8","12"
"comm_confirm_grp[1]/comm_details","2","20"
"comm_confirm_grp[1]/comm_confirm","2","20"
"u5_iden_grp[1]/u5_id","133","21"
"u5_iden_grp[1]/u5_fullname","133","21"
"u5_iden_grp[1]/u5_age","133","21"
"u5_iden_grp[1]/u5_ct_id","133","21"
"u5_iden_grp[1]/u5_ct_fullname","133","21"
"uf9","2","154"
"consent_grp[1]/consent","2","156"
"consented_grp[1]/ub0","3","158"
"consented_grp[1]/ub1_age_sel","15","161"
"consented_grp[1]/ub1_dob_dmy","17","176"
"consented_grp[1]/ub5","2","192"
"consented_grp[1]/ub9","2","194"
"consented_grp[1]/br1","11","197"
"consented_grp[1]/ec1","2","207"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","23","209"
"consented_grp[1]/ec2_grp[1]/ec2_label","23","209"
"consented_grp[1]/ec2_grp[1]/ec2a","23","209"
"consented_grp[1]/ec2_grp[1]/ec2b","23","209"
"consented_grp[1]/ec2_grp[1]/ec2c","23","209"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","232"
"consented_grp[1]/ec3_grp[1]/ec3a","8","232"
"consented_grp[1]/ec3_grp[1]/ec3b","8","232"
"consented_grp[1]/ec7","8","240"
"consented_grp[1]/ec8","1","249"
"consented_grp[1]/ec9","3","250"
"consented_grp[1]/ec10","13","253"
"consented_grp[1]/ec11","12","266"
"consented_grp[1]/ec12","4","278"
"consented_grp[1]/ec13","7","282"
"consented_grp[1]/ec14","14","288"
"consented_grp[1]/ec15","8","303"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","62","311"
"consented_grp[1]/ucd2_grp[1]/ucd2a","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2b","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2c","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2d","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2e","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2f","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2g","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2h","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2i","62","311"
"consented_grp[1]/ucd2_grp[1]/ucb2j","62","311"
"consented_grp[1]/ucd3","14","373"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","33","379"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","33","379"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","33","379"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","33","379"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","33","379"
"consented_grp[1]/ucf_grp[1]/ucf5","11","386"
