"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","4","8"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"u5_iden_grp[1]/u5_id","281","13"
"u5_iden_grp[1]/u5_fullname","281","13"
"u5_iden_grp[1]/u5_age","281","13"
"u5_iden_grp[1]/u5_ct_id","281","13"
"u5_iden_grp[1]/u5_ct_fullname","281","13"
"gm1_a","1","294"
"gm1_b","1","296"
"gm2_rpt[1]/gm2_grp[1]/gm3","10","297"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","307"
"gm2_rpt[1]/gm2_grp[1]/gm5","2","308"
"gm2_rpt[1]/gm2_grp[1]/gm6","17","310"
"gm2_rpt[1]/gm2_grp[1]/gm7","3","327"
"gmobs1","1","330"
"gmobs2","1","332"
"an8","7","333"
"an9","1","339"
"an11_grp[1]/an11_b","7","341"
"an11_grp[1]/an11","7","341"
"an12","3","347"
"an13","1","350"
"an15","1","351"
