"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","4"
"enum_id","7","7"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","14","15"
"comm_confirm_grp[1]/comm_details","1","28"
"comm_confirm_grp[1]/comm_confirm","1","28"
"hhid_grp[1]/hhid_instruction","8","30"
"hhid_grp[1]/hhid_struct_num","8","30"
"hhid_grp[1]/hhid_hh_num","8","30"
"hhid_confirm_grp[1]/hhid_details","3","37"
"hhid_confirm_grp[1]/hhid_confirm","3","37"
"consent_grp[1]/consent_instr","84","39"
"consent_grp[1]/consent","84","39"
"consented_grp[1]/hh_note","1","125"
"consented_grp[1]/hhm_cnt","2","126"
"consented_grp[1]/rooster_note","3","128"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","59","130"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","59","130"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","59","130"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","190"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","192"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","194"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","196"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","198"
"consented_grp[1]/hhm_rpt[1]/ed4","4","202"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","206"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","206"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","208"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","208"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","208"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","7","222"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","5","229"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","234"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","4","236"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","241"
"consented_grp[1]/hhm_rpt[2]/ed4","2","244"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","246"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","246"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","248"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","248"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","248"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","264"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","4","266"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","4","270"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_y","3","274"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","277"
"consented_grp[1]/hhm_rpt[3]/ed4","2","279"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","281"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","283"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","1","286"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","2","287"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","5","289"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","5","289"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","294"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","294"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","294"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","12","310"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","8","322"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","4","330"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_y","3","334"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","12","337"
"consented_grp[1]/hhm_rpt[4]/ed4","22","349"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","371"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","373"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","2","375"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","2","377"
"consented_grp[1]/hhm_rpt[4]/ed9","2","379"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","5","381"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","4","383"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","2","390"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","392"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","1","394"
"consented_grp[1]/hhm_rpt[4]/ed15","3","395"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","4","398"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","3","400"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","15","405"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","15","405"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","420"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","420"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","420"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","2","434"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","436"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","6","439"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_y","3","445"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","6","448"
"consented_grp[1]/hhm_rpt[5]/ed4","6","453"
"consented_grp[1]/hhm_rpt[5]/ed9","2","460"
"consented_grp[1]/hhm_rpt[5]/ed15","3","462"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","14","465"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","14","465"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","480"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","480"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","480"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","3","492"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","3","495"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","2","498"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_y","4","500"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","2","504"
"consented_grp[1]/hhm_rpt[6]/ed4","3","506"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a","2","509"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a_a","2","511"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5b","2","512"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed6","3","514"
"consented_grp[1]/hhm_rpt[6]/ed9","2","517"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed10","5","519"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed11a","2","524"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed12","2","526"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed13","3","528"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed14","2","531"
"consented_grp[1]/hhm_rpt[6]/ed15","4","533"
"consented_grp[1]/hhm_rpt[6]/ed16_grp[1]/ed16a","2","537"
"consented_grp[1]/hhm_rpt[6]/ed16_grp[1]/ed16b","2","539"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","4","541"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","4","541"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","545"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","545"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","545"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl3","3","570"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl4","2","573"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_age_sel","4","575"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_dob_dmy","6","579"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl7","2","585"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_note","4","587"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_yn","4","587"
"consented_grp[1]/hhm_ch_intro","2","591"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","16","593"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","13","609"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","3","622"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","2","625"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","1","628"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","2","629"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","3","631"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","1","634"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","1","635"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","2","636"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","639"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","2","641"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","4","643"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","2","647"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","2","649"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","3","650"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","4","653"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl19","6","657"
"consented_grp[1]/u5_rpt[1]/u5_note","32","663"
"consented_grp[1]/hc_grp[1]/hc1a","6","695"
"consented_grp[1]/hc_grp[1]/hc1b","12","702"
"consented_grp[1]/hc_grp[1]/hc2","8","713"
"consented_grp[1]/hc_grp[1]/hc3","65","722"
"consented_grp[1]/hc_grp[1]/hc4","11","787"
"consented_grp[1]/hc_grp[1]/hc4_osp","7","798"
"consented_grp[1]/hc_grp[1]/hc5","4","805"
"consented_grp[1]/hc_grp[1]/hc6","4","809"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","22","812"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","22","812"
"consented_grp[1]/hc_grp[1]/hc8","2","834"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","29","836"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","29","836"
"consented_grp[1]/hc_grp[1]/hc11","7","865"
"consented_grp[1]/hc_grp[1]/hc12","8","872"
"consented_grp[1]/hc_grp[1]/hc13","3","880"
"consented_grp[1]/hc_grp[1]/hc14","7","883"
"consented_grp[1]/hc_grp[1]/hc15","10","889"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","4","900"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","4","900"
"consented_grp[1]/hc_grp[1]/hc17","11","904"
"consented_grp[1]/hc_grp[1]/hc19","2","915"
"consented_grp[1]/st_intonote","2","917"
"consented_grp[1]/st_rpt[1]/st1a","21","919"
"consented_grp[1]/st_rpt[1]/st1b","3","940"
"consented_grp[1]/st_rpt[2]/st1a","6","943"
"consented_grp[1]/st_rpt[2]/st1b","2","950"
"consented_grp[1]/st_rpt[3]/st1a","2","951"
"consented_grp[1]/st_rpt[3]/st1b","29","953"
"consented_grp[1]/st_rpt[4]/st1a","2","983"
"consented_grp[1]/st_rpt[4]/st1b","10","985"
"consented_grp[1]/st_rpt[5]/st1a","2","995"
"consented_grp[1]/st_rpt[5]/st1b","1","997"
"consented_grp[1]/st_rpt[5]/st1_add_yn","2","998"
"consented_grp[1]/eu1","7","1000"
"consented_grp[1]/eu2","1","1007"
"consented_grp[1]/eu4_grp[1]/eu4","2","1008"
"consented_grp[1]/eu5_grp[1]/eu5","4","1010"
"consented_grp[1]/eu6","3","1014"
"consented_grp[1]/eu9","20","1016"
"consented_grp[1]/tn1","7","1036"
"consented_grp[1]/irs1","2","1044"
"consented_grp[1]/ws1","21","1045"
"consented_grp[1]/ws3","2","1067"
"consented_grp[1]/ws4","7","1069"
"consented_grp[1]/ws5","24","1075"
"consented_grp[1]/ws6","10","1100"
"consented_grp[1]/ws7","24","1109"
"consented_grp[1]/ws8","4","1134"
"consented_grp[1]/ws9","24","1138"
"consented_grp[1]/ws11","29","1161"
"consented_grp[1]/ws12","5","1190"
"consented_grp[1]/ws14","2","1195"
"consented_grp[1]/ws15","5","1198"
"consented_grp[1]/ws16","2","1203"
"consented_grp[1]/ws17","2","1205"
"consented_grp[1]/hw1_grp[1]/hw1_note","3","1206"
"consented_grp[1]/hw1_grp[1]/hw1","3","1206"
"consented_grp[1]/hw5","1","1209"
"consented_grp[1]/death_note","35","1211"
"consented_grp[1]/dc0a","45","1215"
"consented_grp[1]/main_respondent","22","1288"
"consented_grp[1]/dc0b","14","1310"
"consented_grp[1]/dc1_rpt[1]/dc2b","8","1324"
"consented_grp[1]/dc1_rpt[1]/dc3","2","1332"
"consented_grp[1]/dc1_rpt[1]/dc4","54","1334"
"consented_grp[1]/dc1_rpt[1]/dc5","6","1388"
"consented_grp[1]/dc1_rpt[1]/dc6_grp[1]/dc6","16","1395"
"consented_grp[1]/dc1_rpt[1]/dc6_grp[1]/dc6_units","16","1395"
"consented_grp[1]/dc1_rpt[1]/dc7","4","1407"
"consented_grp[1]/dc1_rpt[1]/dc9a","4","1409"
"consented_grp[1]/dc1_rpt[1]/dc9b","4","1412"
"consented_grp[1]/survey_language","3","1416"
"consented_grp[1]/survey_accomp","7","1418"
"gps_backup","197","1424"
"comments","77","1588"
