"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","8","2"
"enum_confirm_grp[1]/enum_details","2","8"
"enum_confirm_grp[1]/enum_confirm","2","8"
"community_id","11","9"
"comm_confirm_grp[1]/comm_details","2","19"
"comm_confirm_grp[1]/comm_confirm","2","19"
"hhid_grp[1]/hhid_instruction","7","21"
"hhid_grp[1]/hhid_struct_num","7","21"
"hhid_grp[1]/hhid_hh_num","7","21"
"hhid_confirm_grp[1]/hhid_details","6","26"
"hhid_confirm_grp[1]/hhid_confirm","6","26"
"consent_grp[1]/consent_instr","112","28"
"consent_grp[1]/consent","112","28"
"consented_grp[1]/hh_note","44","138"
"consented_grp[1]/hhm_cnt","8","180"
"consented_grp[1]/rooster_note","5","185"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","42","187"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","42","187"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","42","187"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","219"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","8","220"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","223"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","21","225"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","6","263"
"consented_grp[1]/hhm_rpt[1]/ed4","3","268"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","3","270"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","272"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","9","275"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","3","283"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","285"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","285"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","287"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","287"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","287"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","310"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","312"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","314"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","16","316"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","330"
"consented_grp[1]/hhm_rpt[2]/ed4","4","332"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","335"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","4","337"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","3","339"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","9","341"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","350"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","350"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","30","351"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","30","351"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","30","351"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","6","374"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","5","376"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","5","377"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","23","379"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","402"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","404"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","404"
"consented_grp[1]/hhm_ch_intro","2","406"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","7","407"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","413"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","414"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","2","415"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","4","417"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","2","420"
"consented_grp[1]/u5_rpt[1]/u5_note","38","421"
"consented_grp[1]/hc_grp[1]/hc1a","6","458"
"consented_grp[1]/hc_grp[1]/hc1b","4","463"
"consented_grp[1]/hc_grp[1]/hc2","6","467"
"consented_grp[1]/hc_grp[1]/hc3","13","472"
"consented_grp[1]/hc_grp[1]/hc4","3","484"
"consented_grp[1]/hc_grp[1]/hc5","3","486"
"consented_grp[1]/hc_grp[1]/hc6","6","488"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","21","492"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","21","492"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","21","492"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","21","492"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","21","492"
