"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","96","10"
"comm_confirm_grp[1]/comm_details","1","106"
"comm_confirm_grp[1]/comm_confirm","1","106"
"hhid_grp[1]/hhid_instruction","9","107"
"hhid_grp[1]/hhid_struct_num","9","107"
"hhid_grp[1]/hhid_hh_num","9","107"
"hhid_confirm_grp[1]/hhid_details","1","116"
"hhid_confirm_grp[1]/hhid_confirm","1","116"
"consent_grp[1]/consent_instr","209","117"
"consent_grp[1]/consent","209","117"
"consented_grp[1]/hh_note","2","326"
"consented_grp[1]/hhm_cnt","40","328"
"consented_grp[1]/rooster_note","7","366"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","372"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","372"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","372"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","394"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","396"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","397"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","16","400"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","415"
"consented_grp[1]/hhm_rpt[1]/ed4","3","417"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","19","419"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","19","419"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","431"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","431"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","431"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","451"
