"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","9"
"enum_id","7","11"
"enum_confirm_grp[1]/enum_details","2","18"
"enum_confirm_grp[1]/enum_confirm","2","18"
"community_id","11","20"
"comm_confirm_grp[1]/comm_details","4","31"
"comm_confirm_grp[1]/comm_confirm","4","31"
"iw_iden_grp[1]/iw_id","159","35"
"iw_iden_grp[1]/iw_fullname","159","35"
"iw_iden_grp[1]/iw_age","159","35"
"wm8","4","188"
"wm9_grp[1]/wm9a","113","191"
"wm9_grp[1]/consent","113","191"
"consented_grp[1]/wb3_age_sel","5","303"
"consented_grp[1]/wb4_age_est","14","307"
"consented_grp[1]/wb5","160","317"
"consented_grp[1]/wb14_grp[1]/wb14_note","5","343"
"consented_grp[1]/wb14_grp[1]/wb14","5","343"
"consented_grp[1]/wb15","50","348"
"consented_grp[1]/wb16_grp[1]/wb16a","27","399"
"consented_grp[1]/wb16_grp[1]/wb16_note","27","399"
"consented_grp[1]/wb16_grp[1]/wb16b","27","399"
"consented_grp[1]/wb17a","6","426"
"consented_grp[1]/wb17b","2","432"
"consented_grp[1]/wb18","8","434"
"consented_grp[1]/mt1","8","442"
"consented_grp[1]/mt2","12","450"
"consented_grp[1]/mt3","8","462"
"consented_grp[1]/mt4","6","470"
"consented_grp[1]/mt9","4","475"
"consented_grp[1]/mt11","8","479"
"consented_grp[1]/mt12","21","487"
"consented_grp[1]/cm1","334","509"
"consented_grp[1]/cm2","8","843"
"consented_grp[1]/cm2_grp[1]/cm3","15","850"
"consented_grp[1]/cm2_grp[1]/cm4","15","850"
"consented_grp[1]/cm5","4","866"
"consented_grp[1]/cm5_grp[1]/cm6","30","870"
"consented_grp[1]/cm5_grp[1]/cm7","30","870"
"consented_grp[1]/cm8","12","886"
"consented_grp[1]/cm8_grp[1]/cm9","128","894"
"consented_grp[1]/cm8_grp[1]/cm10","128","894"
"consented_grp[1]/cm12","18","989"
"consented_grp[1]/bh0","9","1034"
"consented_grp[1]/bh_rpt[1]/bh1","20","1042"
"consented_grp[1]/bh_rpt[1]/bh2","19","1052"
"consented_grp[1]/bh_rpt[1]/bh3","10","1057"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","14","1061"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","50","1067"
"consented_grp[1]/bh_rpt[1]/bh5","20","1089"
"consented_grp[1]/bh_rpt[1]/bh6","55","1100"
"consented_grp[1]/bh_rpt[1]/bh7","9","1105"
"consented_grp[1]/bh_rpt[1]/bh10","7","1110"
"consented_grp[1]/bh_rpt[2]/bh1","36","1112"
"consented_grp[1]/bh_rpt[2]/bh2","17","1123"
"consented_grp[1]/bh_rpt[2]/bh3","38","1168"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","18","1188"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","37","1190"
"consented_grp[1]/bh_rpt[2]/bh5","45","1203"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_note","152","1218"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_a","152","1218"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_b","152","1218"
"consented_grp[1]/bh_rpt[2]/bh10","8","1255"
"consented_grp[1]/bh_rpt[3]/bh1","15","1258"
"consented_grp[1]/bh_rpt[3]/bh2","6","1265"
"consented_grp[1]/bh_rpt[3]/bh3","7","1268"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","16","1271"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","75","1276"
"consented_grp[1]/bh_rpt[3]/bh5","11","1303"
"consented_grp[1]/bh_rpt[3]/bh6","28","1308"
"consented_grp[1]/bh_rpt[3]/bh7","8","1315"
"consented_grp[1]/bh_rpt[3]/bh10","8","1317"
"consented_grp[1]/bh_rpt[4]/bh1","19","1322"
"consented_grp[1]/bh_rpt[4]/bh2","8","1331"
"consented_grp[1]/bh_rpt[4]/bh3","20","1336"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","13","1349"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","90","1356"
"consented_grp[1]/bh_rpt[4]/bh5","14","1371"
"consented_grp[1]/bh_rpt[4]/bh6","67","1376"
"consented_grp[1]/bh_rpt[4]/bh7","11","1380"
"consented_grp[1]/bh_rpt[4]/bh10","36","1383"
"consented_grp[1]/bh_rpt[5]/bh1","76","1386"
"consented_grp[1]/bh_rpt[5]/bh2","6","1484"
"consented_grp[1]/bh_rpt[5]/bh3","7","1486"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","9","1489"
"consented_grp[1]/bh_rpt[5]/bh4_dob_my","28","1493"
"consented_grp[1]/bh_rpt[5]/bh5","29","1508"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_note","107","1519"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_a","107","1519"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_b","107","1519"
"consented_grp[1]/bh_rpt[5]/bh10","10","1557"
"consented_grp[1]/cp1_grp[1]/cp1_note","15","1562"
"consented_grp[1]/cp1_grp[1]/cp1","15","1562"
"consented_grp[1]/cp2_grp[1]/cp2_note","188","1574"
"consented_grp[1]/cp2_grp[1]/cp2","188","1574"
"consented_grp[1]/cp3","15","1582"
"consented_grp[1]/un7","20","1585"
"consented_grp[1]/un11","33","1598"
"consented_grp[1]/ma1","22","1607"
"consented_grp[1]/ma2","115","1615"
"consented_grp[1]/ma3","79","1697"
"consented_grp[1]/ma4","24","1705"
"consented_grp[1]/ma7","32","1711"
"consented_grp[1]/ma8a","119","1721"
"consented_grp[1]/ma11a","777","1782"
"consented_grp[1]/af_grp[1]/af2","30","1835"
"consented_grp[1]/af_grp[1]/af3","14","1848"
"consented_grp[1]/af_grp[1]/af4","12","1852"
"consented_grp[1]/af_grp[1]/af6b","9","1855"
"consented_grp[1]/af_grp[1]/af8b","7","1857"
"consented_grp[1]/af_grp[1]/af9","12","1859"
"consented_grp[1]/af_grp[1]/af10","12","1864"
"consented_grp[1]/af_grp[1]/af11","12","1868"
"consented_grp[1]/af_grp[1]/af12","20","1872"
"consented_grp[1]/ls1_grp[1]/ls_note","208","1876"
"consented_grp[1]/ls1_grp[1]/ls1","208","1876"
"consented_grp[1]/ls2_grp[1]/ls2_note","10","2074"
