"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","10","4"
"enum_confirm_grp[1]/enum_details","8","14"
"enum_confirm_grp[1]/enum_confirm","8","14"
"community_id","46","22"
"comm_confirm_grp[1]/comm_details","2","68"
"comm_confirm_grp[1]/comm_confirm","2","68"
"hhid_grp[1]/hhid_instruction","258","70"
"hhid_grp[1]/hhid_struct_num","258","70"
"hhid_grp[1]/hhid_hh_num","258","70"
"hhid_confirm_grp[1]/hhid_details","6","321"
"hhid_confirm_grp[1]/hhid_confirm","6","321"
"consent_grp[1]/consent_instr","169","324"
"consent_grp[1]/consent","169","324"
"consented_grp[1]/hh_note","7","487"
"consented_grp[1]/hhm_cnt","13","491"
"consented_grp[1]/rooster_note","2","523"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","525"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","525"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","525"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","551"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","553"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","556"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","7","558"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","565"
"consented_grp[1]/hhm_rpt[1]/ed4","8","568"
"consented_grp[1]/hhm_rpt[1]/ed9","3","576"
"consented_grp[1]/hhm_rpt[1]/ed15","4","579"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","583"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","583"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","585"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","585"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","585"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","607"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","609"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","612"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","3","616"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","619"
"consented_grp[1]/hhm_rpt[2]/ed4","4","622"
"consented_grp[1]/hhm_rpt[2]/ed9","2","626"
"consented_grp[1]/hhm_rpt[2]/ed15","2","628"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","630"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","630"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","633"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","633"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","633"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","650"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","653"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","655"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","15","658"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","3","672"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","675"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","675"
"consented_grp[1]/hhm_ch_intro","1","678"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","6","679"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","685"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","688"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","1","689"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","3","691"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","3","693"
"consented_grp[1]/u5_rpt[1]/u5_note","73","696"
"consented_grp[1]/hc_grp[1]/hc1a","8","769"
"consented_grp[1]/hc_grp[1]/hc1b","8","777"
"consented_grp[1]/hc_grp[1]/hc2","3","786"
"consented_grp[1]/hc_grp[1]/hc3","3","788"
"consented_grp[1]/hc_grp[1]/hc4","24","791"
"consented_grp[1]/hc_grp[1]/hc5","4","815"
"consented_grp[1]/hc_grp[1]/hc6","7","819"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","14","826"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","14","826"
"consented_grp[1]/hc_grp[1]/hc8","3","840"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","15","843"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","15","843"
"consented_grp[1]/hc_grp[1]/hc11","3","859"
"consented_grp[1]/hc_grp[1]/hc12","8","862"
"consented_grp[1]/hc_grp[1]/hc13","3","870"
"consented_grp[1]/hc_grp[1]/hc14","6","873"
"consented_grp[1]/hc_grp[1]/hc15","13","878"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","10","891"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","10","891"
"consented_grp[1]/hc_grp[1]/hc17","14","896"
"consented_grp[1]/hc_grp[1]/hc19","4","916"
"consented_grp[1]/st_intonote","2","919"
"consented_grp[1]/st_rpt[1]/st1a","4","921"
"consented_grp[1]/st_rpt[2]/st1a","3","925"
"consented_grp[1]/st_rpt[3]/st1a","2","928"
"consented_grp[1]/st_rpt[4]/st1a","4","930"
"consented_grp[1]/st_rpt[5]/st1a","2","934"
"consented_grp[1]/st_rpt[5]/st1_add_yn","3","936"
"consented_grp[1]/eu1","8","939"
"consented_grp[1]/eu2","2","946"
"consented_grp[1]/eu4_grp[1]/eu4","15","949"
"consented_grp[1]/eu5_grp[1]/eu5","4","964"
"consented_grp[1]/eu6","6","968"
"consented_grp[1]/eu8","34","974"
"consented_grp[1]/eu9","6","1008"
"consented_grp[1]/tn1","7","1014"
"consented_grp[1]/tn2","3","1021"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","1","1024"
"consented_grp[1]/tn_rpt[1]/tn3","10","1026"
"consented_grp[1]/tn_rpt[1]/tn4","25","1035"
"consented_grp[1]/tn_rpt[1]/tn5","2","1060"
"consented_grp[1]/tn_rpt[1]/tn10","2","1062"
"consented_grp[1]/tn_rpt[1]/tn12","2","1064"
"consented_grp[1]/tn_rpt[1]/tn13","2","1066"
"consented_grp[1]/tn_rpt[1]/tn15","7","1068"
"consented_grp[1]/irs1","5","1075"
"consented_grp[1]/ws1","30","1080"
"consented_grp[1]/ws3","3","1111"
"consented_grp[1]/ws4","3","1114"
"consented_grp[1]/ws5","7","1116"
"consented_grp[1]/ws6","19","1123"
"consented_grp[1]/ws7","6","1142"
"consented_grp[1]/ws9","5","1148"
"consented_grp[1]/ws11","22","1153"
"consented_grp[1]/ws12","2","1175"
"consented_grp[1]/ws14","6","1177"
"consented_grp[1]/ws15","3","1183"
"consented_grp[1]/ws16","34","1186"
"consented_grp[1]/hw1_grp[1]/hw1_note","16","1217"
"consented_grp[1]/hw1_grp[1]/hw1","16","1217"
"consented_grp[1]/ws17","7","1223"
"consented_grp[1]/hw5","4","1243"
"consented_grp[1]/death_note","2","1247"
"consented_grp[1]/dc0a","11","1248"
"consented_grp[1]/main_respondent","5","1260"
"consented_grp[1]/survey_language","2","1264"
"consented_grp[1]/survey_accomp","3","1267"
"gps_backup","26","1269"
"comments","9","1295"
