"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","12"
"enum_id","5","14"
"enum_confirm_grp[1]/enum_details","1","18"
"enum_confirm_grp[1]/enum_confirm","1","18"
"community_id","7","19"
"comm_confirm_grp[1]/comm_details","1","26"
"comm_confirm_grp[1]/comm_confirm","1","26"
"u5_iden_grp[1]/u5_id","55","27"
"u5_iden_grp[1]/u5_fullname","55","27"
"u5_iden_grp[1]/u5_age","55","27"
"u5_iden_grp[1]/u5_ct_id","55","27"
"u5_iden_grp[1]/u5_ct_fullname","55","27"
"gm1_a","22","82"
"gmobs1","2","104"
"gmobs2","2","106"
"an8","4","108"
"an9","2","112"
"an11_grp[1]/an11_a","6","115"
"an11_grp[1]/an11","6","115"
"an12","3","120"
"an13","4","123"
"an15","1","127"
