"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","17","12"
"comm_confirm_grp[1]/comm_details","2","28"
"comm_confirm_grp[1]/comm_confirm","2","28"
"u5_iden_grp[1]/u5_id","73","30"
"u5_iden_grp[1]/u5_fullname","73","30"
"u5_iden_grp[1]/u5_age","73","30"
"u5_iden_grp[1]/u5_ct_id","73","30"
"u5_iden_grp[1]/u5_ct_fullname","73","30"
"gm1_a","46","104"
"gm1_b","17","123"
"gmobs1","2","166"
"gmobs2","1","169"
"an8","11","170"
"an9","2","181"
"an11_grp[1]/an11_b","14","183"
"an11_grp[1]/an11","14","183"
"an12","3","197"
"an13","1","200"
"an15","1","201"
