"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","5","4"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","5","10"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","42","16"
"u5_iden_grp[1]/u5_fullname","42","16"
"u5_iden_grp[1]/u5_age","42","16"
"u5_iden_grp[1]/u5_ct_id","42","16"
"u5_iden_grp[1]/u5_ct_fullname","42","16"
"uf9","2","58"
"consent_grp[1]/consent","3","60"
"consented_grp[1]/ub0","1","62"
"consented_grp[1]/ub1_age_sel","2","63"
"consented_grp[1]/ub1_dob_dmy","18","65"
"consented_grp[1]/ub5","2","83"
"consented_grp[1]/ub9","10","85"
"consented_grp[1]/br1","6","95"
"consented_grp[1]/br2","12","101"
"consented_grp[1]/br3","1","113"
"consented_grp[1]/ec1","2","114"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","34","116"
"consented_grp[1]/ec2_grp[1]/ec2_label","34","116"
"consented_grp[1]/ec2_grp[1]/ec2a","34","116"
"consented_grp[1]/ec2_grp[1]/ec2b","34","116"
"consented_grp[1]/ec2_grp[1]/ec2c","34","116"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","7","150"
"consented_grp[1]/ec3_grp[1]/ec3a","7","150"
"consented_grp[1]/ec3_grp[1]/ec3b","7","150"
"consented_grp[1]/ec7","6","157"
"consented_grp[1]/ec8","1","163"
"consented_grp[1]/ec9","10","164"
"consented_grp[1]/ec10","13","174"
"consented_grp[1]/ec11","3","187"
"consented_grp[1]/ec12","2","189"
"consented_grp[1]/ec13","7","191"
"consented_grp[1]/ec14","2","198"
"consented_grp[1]/ec15","3","200"
"consented_grp[1]/bd_grp[1]/bd2","4","203"
"consented_grp[1]/bd_grp[1]/bd3","5","206"
"consented_grp[1]/bd_grp[1]/bd4","14","211"
"consented_grp[1]/bd_grp[1]/bd5","6","225"
"consented_grp[1]/bd_grp[1]/bd6","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","24","245"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","24","245"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","24","245"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","24","245"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","24","245"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","24","245"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","269"
