"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","4"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","21","12"
"comm_confirm_grp[1]/comm_details","1","33"
"comm_confirm_grp[1]/comm_confirm","1","33"
"u5_iden_grp[1]/u5_id","101","34"
"u5_iden_grp[1]/u5_fullname","101","34"
"u5_iden_grp[1]/u5_age","101","34"
"u5_iden_grp[1]/u5_ct_id","101","34"
"u5_iden_grp[1]/u5_ct_fullname","101","34"
"gm1_a","2","135"
"gm1_b","2","137"
"gm2_rpt[1]/gm2_grp[1]/gm3","2","139"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","141"
"gm2_rpt[1]/gm2_grp[1]/gm5","3","142"
"gm2_rpt[1]/gm2_grp[1]/gm6","1","146"
"gm2_rpt[1]/gm2_grp[1]/gm7","1","147"
"gm2_rpt[2]/gm2_grp[1]/gm3","2","148"
"gm2_rpt[2]/gm2_grp[1]/gm4","1","150"
"gm2_rpt[2]/gm2_grp[1]/gm5","4","152"
"gm2_rpt[2]/gm2_grp[1]/gm6","1","156"
"gm2_rpt[2]/gm2_grp[1]/gm7","1","157"
"gmobs1","4","158"
"gmobs2","4","163"
"an8","11","166"
"an9","3","177"
"an11_grp[1]/an11_a","6","180"
"an11_grp[1]/an11","6","180"
"an12","2","186"
"an13","1","188"
"an15","1","189"
