"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","4"
"enum_id","6","6"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","9","12"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"iw_iden_grp[1]/iw_id","43","23"
"iw_iden_grp[1]/iw_fullname","43","23"
"iw_iden_grp[1]/iw_age","43","23"
"wm8","2","66"
"wm9_grp[1]/wm9b","2","68"
"wm9_grp[1]/consent","2","68"
"consented_grp[1]/wb3_age_sel","2","70"
"consented_grp[1]/wb3_dob_dmy","18","72"
"consented_grp[1]/wb5","3","90"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","93"
"consented_grp[1]/wb14_grp[1]/wb14","4","93"
"consented_grp[1]/wb15","22","96"
"consented_grp[1]/wb16_grp[1]/wb16a","8","118"
"consented_grp[1]/wb16_grp[1]/wb16_note","8","118"
"consented_grp[1]/wb16_grp[1]/wb16b","8","118"
"consented_grp[1]/wb17a","4","126"
"consented_grp[1]/wb17b","2","130"
"consented_grp[1]/wb18","24","132"
"consented_grp[1]/mt1","5","156"
"consented_grp[1]/mt2","1","161"
"consented_grp[1]/mt3","1","162"
"consented_grp[1]/mt4","1","163"
"consented_grp[1]/mt9","2","165"
"consented_grp[1]/mt11","1","167"
"consented_grp[1]/mt12","2","168"
"consented_grp[1]/cm1","2","170"
"consented_grp[1]/cm2","1","172"
"consented_grp[1]/cm2_grp[1]/cm3","4","173"
"consented_grp[1]/cm2_grp[1]/cm4","4","173"
"consented_grp[1]/cm5","9","177"
"consented_grp[1]/cm8","4","186"
"consented_grp[1]/cm12","1","190"
"consented_grp[1]/bh0","1","192"
"consented_grp[1]/bh_rpt[1]/bh1","11","193"
"consented_grp[1]/bh_rpt[1]/bh2","1","203"
"consented_grp[1]/bh_rpt[1]/bh3","1","205"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","1","206"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","16","207"
"consented_grp[1]/bh_rpt[1]/bh5","2","223"
"consented_grp[1]/bh_rpt[1]/bh6","10","225"
"consented_grp[1]/bh_rpt[1]/bh7","2","235"
"consented_grp[1]/bh_rpt[1]/bh8","5","236"
"consented_grp[1]/bh_rpt[1]/bh10","2","241"
"consented_grp[1]/bh_rpt[2]/bh1","20","243"
"consented_grp[1]/bh_rpt[2]/bh2","1","263"
"consented_grp[1]/bh_rpt[2]/bh3","5","265"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","1","269"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","7","271"
"consented_grp[1]/bh_rpt[2]/bh5","2","278"
"consented_grp[1]/bh_rpt[2]/bh6","2","280"
"consented_grp[1]/bh_rpt[2]/bh7","1","281"
"consented_grp[1]/bh_rpt[2]/bh8","4","283"
"consented_grp[1]/bh_rpt[2]/bh10","2","287"
"consented_grp[1]/db2","5","289"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","2","293"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","1","295"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","7","296"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","7","296"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","10","304"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","5","314"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","5","314"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","5","314"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","5","314"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","5","314"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","13","319"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","2","331"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","10","334"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","11","344"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","355"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","357"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","1","358"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","4","360"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","3","364"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","5","367"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","27","372"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","7","399"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","13","406"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","3","415"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","1","422"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","13","424"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","1","436"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","5","438"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","5","438"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","6","442"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","2","448"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","14","450"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","14","450"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","7","464"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","471"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","11","472"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","11","472"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","4","478"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","4","478"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","487"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","487"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","7","489"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","7","489"
