"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","8","7"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","35","16"
"u5_iden_grp[1]/u5_fullname","35","16"
"u5_iden_grp[1]/u5_age","35","16"
"u5_iden_grp[1]/u5_ct_id","35","16"
"u5_iden_grp[1]/u5_ct_fullname","35","16"
"uf9","1","52"
"consent_grp[1]/consent","1","53"
"consented_grp[1]/ub0","1","54"
"consented_grp[1]/ub1_age_sel","1","56"
"consented_grp[1]/ub1_dob_dmy","6","57"
"consented_grp[1]/ub5","1","63"
"consented_grp[1]/ub9","1","64"
"consented_grp[1]/br1","2","65"
"consented_grp[1]/ec1","2","67"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","14","68"
"consented_grp[1]/ec2_grp[1]/ec2_label","14","68"
"consented_grp[1]/ec2_grp[1]/ec2a","14","68"
"consented_grp[1]/ec2_grp[1]/ec2b","14","68"
"consented_grp[1]/ec2_grp[1]/ec2c","14","68"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","10","82"
"consented_grp[1]/ec3_grp[1]/ec3a","10","82"
"consented_grp[1]/ec3_grp[1]/ec3b","10","82"
"consented_grp[1]/ec7","1","93"
"consented_grp[1]/ec8","1","94"
"consented_grp[1]/ec9","4","95"
"consented_grp[1]/ec10","2","99"
"consented_grp[1]/ec11","2","101"
"consented_grp[1]/ec12","1","103"
"consented_grp[1]/ec13","1","104"
"consented_grp[1]/ec14","8","105"
"consented_grp[1]/ec15","4","114"
"consented_grp[1]/bd_grp[1]/bd2","2","117"
"consented_grp[1]/bd_grp[1]/bd3","2","119"
"consented_grp[1]/bd_grp[1]/bd4","3","120"
"consented_grp[1]/bd_grp[1]/bd5","10","124"
