"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","5","2"
"enum_id","10","6"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","12","18"
"comm_confirm_grp[1]/comm_details","2","30"
"comm_confirm_grp[1]/comm_confirm","2","30"
"u5_iden_grp[1]/u5_id","103","32"
"u5_iden_grp[1]/u5_fullname","103","32"
"u5_iden_grp[1]/u5_age","103","32"
"u5_iden_grp[1]/u5_ct_id","103","32"
"u5_iden_grp[1]/u5_ct_fullname","103","32"
"gm1_a","27","135"
"gmobs1","20","162"
"gmobs2","3","182"
"an8","7","185"
"an9","3","193"
"an11_grp[1]/an11_a","14","195"
"an11_grp[1]/an11","14","195"
"an12","2","210"
"an13","2","212"
"an15","2","214"
