"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","4","5"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","4","10"
"comm_confirm_grp[1]/comm_details","1","14"
"comm_confirm_grp[1]/comm_confirm","1","14"
"u5_iden_grp[1]/u5_id","30","15"
"u5_iden_grp[1]/u5_fullname","30","15"
"u5_iden_grp[1]/u5_age","30","15"
"u5_iden_grp[1]/u5_ct_id","30","15"
"u5_iden_grp[1]/u5_ct_fullname","30","15"
"uf9","1","45"
"consent_grp[1]/consent","1","46"
"consented_grp[1]/ub0","1","48"
"consented_grp[1]/ub1_age_sel","1","48"
"consented_grp[1]/ub1_dob_dmy","5","50"
"consented_grp[1]/ub5","1","55"
"consented_grp[1]/ub9","2","57"
"consented_grp[1]/br1","1","58"
"consented_grp[1]/br2","1","60"
"consented_grp[1]/br3","1","61"
"consented_grp[1]/ec1","2","62"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","5","63"
"consented_grp[1]/ec2_grp[1]/ec2_label","5","63"
"consented_grp[1]/ec2_grp[1]/ec2a","5","63"
"consented_grp[1]/ec2_grp[1]/ec2b","5","63"
"consented_grp[1]/ec2_grp[1]/ec2c","5","63"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","7","69"
"consented_grp[1]/ec3_grp[1]/ec3a","7","69"
"consented_grp[1]/ec3_grp[1]/ec3b","7","69"
"consented_grp[1]/ec7","1","76"
"consented_grp[1]/ec8","2","77"
"consented_grp[1]/ec9","1","79"
"consented_grp[1]/ec10","3","80"
"consented_grp[1]/ec11","4","83"
"consented_grp[1]/ec12","2","87"
"consented_grp[1]/ec13","7","89"
"consented_grp[1]/ec14","6","96"
"consented_grp[1]/ec15","4","102"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","25","106"
"consented_grp[1]/ucd2_grp[1]/ucd2a","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2b","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2c","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2d","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2e","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2f","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2g","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2h","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2i","25","106"
"consented_grp[1]/ucd2_grp[1]/ucb2j","25","106"
"consented_grp[1]/ucd3","1","131"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","4","132"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","4","132"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","4","132"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","4","132"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","4","132"
"consented_grp[1]/ucf_grp[1]/ucf5","2","136"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","137"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","139"
"consented_grp[1]/ucf_grp[1]/ucf13","1","140"
"consented_grp[1]/ucf_grp[1]/ucf14","1","141"
"consented_grp[1]/ucf_grp[1]/ucf15","2","142"
"consented_grp[1]/ucf_grp[1]/ucf16","3","144"
"consented_grp[1]/ucf_grp[1]/ucf17","1","147"
"consented_grp[1]/ucf_grp[1]/ucf18","1","148"
"consented_grp[1]/ucf_grp[1]/ucf19","3","149"
"consented_grp[1]/bd_grp[1]/bd2","3","152"
"consented_grp[1]/bd_grp[1]/bd4","12","154"
"consented_grp[1]/bd_grp[1]/bd3","1","156"
"consented_grp[1]/bd_grp[1]/bd5","4","168"
"consented_grp[1]/bd_grp[1]/bd6","4","172"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","8","175"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","8","175"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","8","175"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","8","175"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","8","175"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","8","175"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","1","183"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","1","183"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","185"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","185"
"consented_grp[1]/bd_grp[1]/bd8","1","187"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","188"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","1","189"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","190"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","191"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","4","194"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","1","199"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","4","200"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","204"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","4","205"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","3","209"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","3","212"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","4","216"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","4","220"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","4","223"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","3","228"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","3","231"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","7","235"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","5","241"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","3","246"
"consented_grp[1]/im2","1","249"
"consented_grp[1]/im5","1","251"
"consented_grp[1]/im6_note","2","252"
"consented_grp[1]/im6_rpt[1]/im6","1","254"
"consented_grp[1]/im6_rpt[1]/im6a","8","255"
"consented_grp[1]/im6_rpt[2]/im6","1","262"
"consented_grp[1]/im6_rpt[2]/im6a","5","263"
"consented_grp[1]/im6_rpt[3]/im6","1","268"
"consented_grp[1]/im6_rpt[3]/im6a","6","269"
"consented_grp[1]/im6_rpt[4]/im6","1","275"
"consented_grp[1]/im6_rpt[4]/im6a","6","276"
"consented_grp[1]/im6_rpt[5]/im6","1","282"
"consented_grp[1]/im6_rpt[5]/im6a","5","283"
"consented_grp[1]/im6_rpt[6]/im6","1","288"
"consented_grp[1]/im6_rpt[6]/im6a","5","289"
"consented_grp[1]/im6_rpt[7]/im6","1","294"
"consented_grp[1]/im6_rpt[7]/im6a","7","295"
