"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","7","6"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","15","14"
"comm_confirm_grp[1]/comm_details","1","29"
"comm_confirm_grp[1]/comm_confirm","1","29"
"iw_iden_grp[1]/iw_id","292","30"
"iw_iden_grp[1]/iw_fullname","292","30"
"iw_iden_grp[1]/iw_age","292","30"
"wm8","4","322"
"wm9_grp[1]/wm9b","2","326"
"wm9_grp[1]/consent","2","326"
"consented_grp[1]/wb3_age_sel","3","329"
"consented_grp[1]/wb4_age_est","3","332"
"consented_grp[1]/wb5","2","335"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","337"
"consented_grp[1]/wb14_grp[1]/wb14","4","337"
"consented_grp[1]/wb15","27","342"
"consented_grp[1]/wb16_grp[1]/wb16a","19","355"
"consented_grp[1]/wb16_grp[1]/wb16_note","19","355"
"consented_grp[1]/wb16_grp[1]/wb16b","19","355"
"consented_grp[1]/wb18","3","388"
"consented_grp[1]/mt1","3","391"
"consented_grp[1]/mt2","20","394"
"consented_grp[1]/mt3","3","413"
"consented_grp[1]/mt4","13","416"
"consented_grp[1]/mt9","3","429"
"consented_grp[1]/mt11","9","432"
"consented_grp[1]/mt12","29","441"
"consented_grp[1]/cm1","3","470"
"consented_grp[1]/cm2","35","473"
"consented_grp[1]/cm2_grp[1]/cm3","39","504"
"consented_grp[1]/cm2_grp[1]/cm4","39","504"
"consented_grp[1]/cm5","6","531"
"consented_grp[1]/cm5_grp[1]/cm6","89","534"
"consented_grp[1]/cm5_grp[1]/cm7","89","534"
"consented_grp[1]/cm8","27","542"
"consented_grp[1]/cm8_grp[1]/cm9","84","544"
"consented_grp[1]/cm8_grp[1]/cm10","84","544"
"consented_grp[1]/cm12","21","550"
"consented_grp[1]/bh0","13","555"
"consented_grp[1]/bh_rpt[1]/bh1","40","556"
"consented_grp[1]/bh_rpt[1]/bh2","13","576"
"consented_grp[1]/bh_rpt[1]/bh3","16","578"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","583"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","21","585"
"consented_grp[1]/bh_rpt[1]/bh5","16","597"
"consented_grp[1]/bh_rpt[1]/bh6","13","599"
"consented_grp[1]/bh_rpt[1]/bh7","26","603"
"consented_grp[1]/bh_rpt[1]/bh8","23","610"
"consented_grp[1]/bh_rpt[1]/bh10","20","635"
"consented_grp[1]/bh_rpt[2]/bh1","39","637"
"consented_grp[1]/bh_rpt[2]/bh2","33","661"
"consented_grp[1]/bh_rpt[2]/bh3","23","663"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","16","678"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","33","682"
"consented_grp[1]/bh_rpt[2]/bh5","11","700"
"consented_grp[1]/bh_rpt[2]/bh6","18","703"
"consented_grp[1]/bh_rpt[2]/bh7","25","706"
"consented_grp[1]/bh_rpt[2]/bh8","55","715"
"consented_grp[1]/bh_rpt[2]/bh10","16","722"
"consented_grp[1]/bh_rpt[3]/bh1","102","724"
"consented_grp[1]/bh_rpt[3]/bh2","12","800"
"consented_grp[1]/bh_rpt[3]/bh3","19","803"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","20","806"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","6","809"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","112","817"
"consented_grp[1]/bh_rpt[3]/bh5","22","909"
"consented_grp[1]/bh_rpt[3]/bh6","28","912"
"consented_grp[1]/bh_rpt[3]/bh7","46","915"
"consented_grp[1]/bh_rpt[3]/bh8","28","948"
"consented_grp[1]/bh_rpt[3]/bh10","12","955"
"consented_grp[1]/bh_rpt[4]/bh1","55","960"
"consented_grp[1]/bh_rpt[4]/bh2","22","973"
"consented_grp[1]/bh_rpt[4]/bh3","41","978"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","16","981"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","38","986"
"consented_grp[1]/bh_rpt[4]/bh5","15","1002"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","18","1005"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","18","1005"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","18","1005"
"consented_grp[1]/bh_rpt[4]/bh10","16","1012"
"consented_grp[1]/bh_rpt[5]/bh1","25","1014"
"consented_grp[1]/bh_rpt[5]/bh2","11","1030"
"consented_grp[1]/bh_rpt[5]/bh3","15","1035"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","22","1038"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","27","1041"
"consented_grp[1]/bh_rpt[5]/bh5","12","1058"
"consented_grp[1]/bh_rpt[5]/bh6","11","1060"
"consented_grp[1]/bh_rpt[5]/bh7","30","1064"
"consented_grp[1]/bh_rpt[5]/bh8","20","1066"
"consented_grp[1]/bh_rpt[5]/bh10","7","1072"
"consented_grp[1]/bh_rpt[6]/bh1","22","1074"
"consented_grp[1]/bh_rpt[6]/bh2","10","1087"
"consented_grp[1]/bh_rpt[6]/bh3","13","1090"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","11","1093"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","64","1095"
"consented_grp[1]/bh_rpt[6]/bh5","19","1111"
"consented_grp[1]/bh_rpt[6]/bh6","17","1114"
