"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","42","8"
"comm_confirm_grp[1]/comm_details","1","49"
"comm_confirm_grp[1]/comm_confirm","1","49"
"iw_iden_grp[1]/iw_id","37","50"
"iw_iden_grp[1]/iw_fullname","37","50"
"iw_iden_grp[1]/iw_age","37","50"
"wm8","2","88"
"wm9_grp[1]/wm9b","2","90"
"wm9_grp[1]/consent","2","90"
"consented_grp[1]/wb3_age_sel","6","91"
"consented_grp[1]/wb3_dob_dmy","24","97"
"consented_grp[1]/wb5","5","121"
"consented_grp[1]/wb5_grp[1]/wb6","3","125"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","129"
"consented_grp[1]/wb14_grp[1]/wb14","4","129"
"consented_grp[1]/wb15","26","134"
"consented_grp[1]/wb16_grp[1]/wb16a","29","160"
"consented_grp[1]/wb16_grp[1]/wb16_note","29","160"
"consented_grp[1]/wb16_grp[1]/wb16b","29","160"
"consented_grp[1]/wb17a","3","189"
"consented_grp[1]/wb17b","7","192"
"consented_grp[1]/wb18","2","199"
"consented_grp[1]/mt1","33","201"
"consented_grp[1]/mt2","4","234"
"consented_grp[1]/mt3","21","238"
"consented_grp[1]/mt4","6","260"
"consented_grp[1]/mt9","6","263"
"consented_grp[1]/mt11","8","271"
"consented_grp[1]/mt12","10","279"
"consented_grp[1]/cm1","197","289"
"consented_grp[1]/cm2","408","486"
"consented_grp[1]/cm2_grp[1]/cm3","12","894"
"consented_grp[1]/cm2_grp[1]/cm4","12","894"
"consented_grp[1]/cm5","8","906"
"consented_grp[1]/cm5_grp[1]/cm6","56","915"
"consented_grp[1]/cm5_grp[1]/cm7","56","915"
"consented_grp[1]/cm8","18","971"
"consented_grp[1]/cm8_grp[1]/cm9","4","989"
"consented_grp[1]/cm8_grp[1]/cm10","4","989"
"consented_grp[1]/cm12","21","993"
"consented_grp[1]/bh0","54","1014"
"consented_grp[1]/bh_rpt[1]/bh1","16","1067"
"consented_grp[1]/bh_rpt[1]/bh2","11","1081"
"consented_grp[1]/bh_rpt[1]/bh3","2","1083"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","1084"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","32","1086"
"consented_grp[1]/bh_rpt[1]/bh5","4","1117"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","30","1120"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","30","1120"
