"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","24"
"enum_id","19","25"
"enum_confirm_grp[1]/enum_details","1","45"
"enum_confirm_grp[1]/enum_confirm","1","45"
"community_id","90","46"
"comm_confirm_grp[1]/comm_details","2","136"
"comm_confirm_grp[1]/comm_confirm","2","136"
"chw_iden_grp[1]/chw_id","57","138"
"chw_iden_grp[1]/chw_fullname","57","138"
"consent_grp[1]/consent_note","530","195"
"consent_grp[1]/consent","530","195"
"consented_grp[1]/consent_followup","1","725"
"consented_grp[1]/gi101","76","726"
"consented_grp[1]/gi102","2","802"
"consented_grp[1]/gi103_dob","29","804"
"consented_grp[1]/gi03_age","48","832"
"consented_grp[1]/age_mismatch","1","880"
"consented_grp[1]/gi104","22","881"
"consented_grp[1]/gi105","12","904"
"consented_grp[1]/gi107","8","916"
"consented_grp[1]/gi110","18","924"
"consented_grp[1]/gi111a","9","940"
"consented_grp[1]/gi113","4","951"
"consented_grp[1]/gi114_grp[1]/gi114_note","32","954"
"consented_grp[1]/gi114_grp[1]/gi114_a","32","954"
"consented_grp[1]/gi114_grp[1]/gi114_b","32","954"
"consented_grp[1]/gi115_grp[1]/gi115_note","111","986"
"consented_grp[1]/gi115_grp[1]/gi115_a","111","986"
"consented_grp[1]/gi115_grp[1]/gi115_b","111","986"
"consented_grp[1]/gi116_grp[1]/gi116_a","22","1096"
"consented_grp[1]/gi116_grp[1]/gi116_b","22","1096"
"consented_grp[1]/gi117","19","1118"
"consented_grp[1]/gi118","51","1138"
"consented_grp[1]/gi119","58","1189"
"consented_grp[1]/gi120_grp[1]/gi120_a","296","1247"
"consented_grp[1]/gi120_grp[1]/gi120_b","296","1247"
"consented_grp[1]/gi121_grp[1]/gi121_a","59","1532"
"consented_grp[1]/gi122_grp[1]/gi122_a","30","1595"
"consented_grp[1]/gi122_grp[1]/gi122_b","30","1595"
"consented_grp[1]/gi123","9","1633"
"consented_grp[1]/gi124","11","1642"
"consented_grp[1]/gi126","6","1653"
"consented_grp[1]/gi127","5","1659"
"consented_grp[1]/gi128_grp[1]/gi128","18","1664"
"consented_grp[1]/gi128_grp[1]/gi129","17","1682"
"consented_grp[1]/gi130_grp[1]/gi130_note","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130a","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130b","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130c","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130d","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130e","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130f","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130g","121","1699"
"consented_grp[1]/gi130_grp[1]/gi130h","121","1699"
"consented_grp[1]/gi131","43","1820"
"consented_grp[1]/ts201_intronote","7","1863"
"consented_grp[1]/ts201_grp[1]/ts201_note","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_label","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_a","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_b","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_c","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_d","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_e","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_f","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_g","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_h","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_i","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_j","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_k","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_l","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_m","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_n","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_o","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_p","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_q","199","1869"
"consented_grp[1]/ts201_grp[1]/ts201_r","199","1869"
"consented_grp[1]/ts202_grp[1]/ts202_note","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_label","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_a","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_b","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_c","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_d","74","2065"
"consented_grp[1]/ts202_grp[1]/ts202_e","74","2065"
"consented_grp[1]/ts203","44","2135"
"consented_grp[1]/ts204_grp[1]/ts204_note","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_label","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_a","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_b","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_c","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_d","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_e","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_f","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_g","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_h","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_i","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_j","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_k","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_l","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_m","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_n","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_o","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_p","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_q","156","2176"
"consented_grp[1]/ts204_grp[1]/ts204_r","156","2176"
"consented_grp[1]/ts204_osp","76","2342"
"consented_grp[1]/ts205_grp[1]/ts205_note","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_label","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_a","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_b","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_c","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_d","73","2418"
"consented_grp[1]/ts205_grp[1]/ts205_e","73","2418"
"consented_grp[1]/ts206_grp[1]/ts206_note","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_label","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_a","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_b","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_c","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_d","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_e","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_f","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_g","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_h","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_i","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_j","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_k","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_l","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_m","361","2491"
"consented_grp[1]/ts206_grp[1]/ts206_n","361","2491"
