"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","9"
"enum_id","6","10"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","9","18"
"comm_confirm_grp[1]/comm_details","21","27"
"comm_confirm_grp[1]/comm_confirm","21","27"
"u5_iden_grp[1]/u5_id","278","47"
"u5_iden_grp[1]/u5_fullname","278","47"
"u5_iden_grp[1]/u5_age","278","47"
"u5_iden_grp[1]/u5_ct_id","278","47"
"u5_iden_grp[1]/u5_ct_fullname","278","47"
"gm1_a","10","324"
"gm1_b","12","332"
"gm2_rpt[1]/gm2_grp[1]/gm3","4","342"
"gm2_rpt[1]/gm2_grp[1]/gm4","4","345"
"gm2_rpt[1]/gm2_grp[1]/gm5","8","347"
"gm2_rpt[1]/gm2_grp[1]/gm6","5","354"
"gm2_rpt[1]/gm2_grp[1]/gm7","4","356"
"gmobs1","9","358"
"gmobs2","7","364"
"an8","72","366"
"an9","25","429"
"an11_grp[1]/an11_a","11","458"
"an11_grp[1]/an11","11","458"
"an12","6","466"
"an13","8","504"
"an15","1","512"
