"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","8","4"
"enum_confirm_grp[1]/enum_details","4","11"
"enum_confirm_grp[1]/enum_confirm","4","11"
"community_id","21","14"
"comm_confirm_grp[1]/comm_details","4","33"
"comm_confirm_grp[1]/comm_confirm","4","33"
"hhid_grp[1]/hhid_instruction","7","34"
"hhid_grp[1]/hhid_struct_num","7","34"
"hhid_grp[1]/hhid_hh_num","7","34"
"hhid_confirm_grp[1]/hhid_details","19","39"
"hhid_confirm_grp[1]/hhid_confirm","19","39"
"consent_grp[1]/consent_instr","111","40"
"consent_grp[1]/consent","111","40"
"consented_grp[1]/hh_note","24","147"
"consented_grp[1]/hhm_cnt","10","168"
"consented_grp[1]/rooster_note","5","175"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","45","177"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","45","177"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","45","177"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","217"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","219"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","5","221"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","21","224"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","16","243"
"consented_grp[1]/hhm_rpt[1]/ed4","22","257"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","9","259"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","7","261"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","5","263"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","266"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","268"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","268"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","270"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","270"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","270"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","16","289"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","7","291"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","5","293"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","15","295"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","12","307"
"consented_grp[1]/hhm_rpt[2]/ed4","5","316"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","5","318"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","4","322"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","8","324"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","4","325"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","7","328"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","7","328"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","330"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","330"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","330"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","14","346"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","7","350"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","4","352"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","14","354"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","12","365"
"consented_grp[1]/hhm_rpt[3]/ed4","5","368"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","4","370"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","6","372"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","5","374"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","9","375"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","8","378"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","8","378"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","381"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","381"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","381"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","11","403"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","8","406"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","4","408"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","35","410"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","7","424"
"consented_grp[1]/hhm_rpt[4]/ed4","5","427"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","8","430"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","8","430"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","435"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","435"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","435"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","7","457"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","3","459"
