"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","5"
"enum_id","8","6"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","17","14"
"comm_confirm_grp[1]/comm_details","4","21"
"comm_confirm_grp[1]/comm_confirm","4","21"
"u5_iden_grp[1]/u5_id","89","22"
"u5_iden_grp[1]/u5_fullname","89","22"
"u5_iden_grp[1]/u5_age","89","22"
"u5_iden_grp[1]/u5_ct_id","89","22"
"u5_iden_grp[1]/u5_ct_fullname","89","22"
"uf9","4","87"
"consent_grp[1]/consent","13","89"
"consented_grp[1]/ub0","3","91"
"consented_grp[1]/ub1_age_sel","12","93"
"consented_grp[1]/ub1_dob_dmy","15","96"
"consented_grp[1]/ub5","8","109"
"consented_grp[1]/ub9","5","115"
"consented_grp[1]/ub10","7","118"
"consented_grp[1]/br1","4","123"
"consented_grp[1]/ec1","5","126"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","17","128"
"consented_grp[1]/ec2_grp[1]/ec2_label","17","128"
"consented_grp[1]/ec2_grp[1]/ec2a","17","128"
"consented_grp[1]/ec2_grp[1]/ec2b","17","128"
"consented_grp[1]/ec2_grp[1]/ec2c","17","128"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","9","144"
"consented_grp[1]/ec3_grp[1]/ec3a","9","144"
"consented_grp[1]/ec3_grp[1]/ec3b","9","144"
"consented_grp[1]/ec7","7","152"
"consented_grp[1]/ec8","3","158"
"consented_grp[1]/ec9","5","160"
"consented_grp[1]/ec10","4","163"
"consented_grp[1]/ec11","10","166"
"consented_grp[1]/ec12","6","171"
"consented_grp[1]/ec13","7","173"
"consented_grp[1]/ec14","13","177"
"consented_grp[1]/ec15","6","199"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","20","203"
"consented_grp[1]/ucd2_grp[1]/ucd2a","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2b","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2c","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2d","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2e","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2f","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2g","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2h","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2i","20","203"
"consented_grp[1]/ucd2_grp[1]/ucb2j","20","203"
"consented_grp[1]/ucd3","5","223"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","13","227"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","13","227"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","13","227"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","13","227"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","13","227"
"consented_grp[1]/ucf_grp[1]/ucf5","3","239"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","241"
"consented_grp[1]/ucf_grp[1]/ucf9b","10","244"
"consented_grp[1]/ucf_grp[1]/ucf13","3","253"
"consented_grp[1]/ucf_grp[1]/ucf14","5","255"
"consented_grp[1]/ucf_grp[1]/ucf15","4","259"
"consented_grp[1]/ucf_grp[1]/ucf16","5","262"
"consented_grp[1]/ucf_grp[1]/ucf17","5","266"
"consented_grp[1]/ucf_grp[1]/ucf18","5","270"
"consented_grp[1]/ucf_grp[1]/ucf19","6","274"
"consented_grp[1]/bd_grp[1]/bd2","4","279"
"consented_grp[1]/bd_grp[1]/bd3","4","283"
"consented_grp[1]/bd_grp[1]/bd4","18","286"
"consented_grp[1]/bd_grp[1]/bd5","5","302"
"consented_grp[1]/bd_grp[1]/bd6","14","306"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","18","319"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","18","319"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","18","319"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","18","319"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","18","319"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","18","319"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","5","334"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","5","334"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","338"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","338"
"consented_grp[1]/bd_grp[1]/bd8","3","340"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","2","342"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","344"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","347"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","348"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","4","351"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","3","354"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","4","356"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","5","359"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","4","363"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","3","366"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","13","368"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","3","380"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","4","381"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h2","3","385"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","4","386"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","5","389"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","4","392"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k2","4","395"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","4","398"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","3","400"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","3","402"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","3","404"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","3","406"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","3","409"
"consented_grp[1]/im2","3","411"
"consented_grp[1]/im5","3","413"
"consented_grp[1]/im6_note","2","414"
"consented_grp[1]/im6_rpt[1]/im6","17","416"
"consented_grp[1]/im6_rpt[1]/im6a","15","430"
"consented_grp[1]/im6_rpt[2]/im6","3","444"
"consented_grp[1]/im6_rpt[2]/im6a","28","446"
"consented_grp[1]/im6_rpt[3]/im6","3","457"
"consented_grp[1]/im6_rpt[3]/im6a","6","458"
"consented_grp[1]/im6_rpt[4]/im6","3","463"
"consented_grp[1]/im6_rpt[4]/im6a","9","466"
"consented_grp[1]/im6_rpt[5]/im6","7","473"
"consented_grp[1]/im6_rpt[5]/im6a","7","479"
"consented_grp[1]/im6_rpt[6]/im6","6","485"
"consented_grp[1]/im6_rpt[6]/im6a","5","490"
"consented_grp[1]/im6_rpt[7]/im6","4","494"
"consented_grp[1]/im6_rpt[7]/im6a","13","497"
"consented_grp[1]/im6_rpt[8]/im6","6","509"
"consented_grp[1]/im6_rpt[8]/im6a","12","514"
"consented_grp[1]/im6_rpt[9]/im6","7","525"
"consented_grp[1]/im6_rpt[9]/im6a","13","527"
"consented_grp[1]/im6_rpt[10]/im6","4","540"
"consented_grp[1]/im6_rpt[10]/im6a","10","543"
"consented_grp[1]/im6_rpt[11]/im6","4","551"
"consented_grp[1]/im6_rpt[12]/im6","3","553"
"consented_grp[1]/im6_rpt[13]/im6","3","555"
"consented_grp[1]/im6_rpt[14]/im6","3","556"
"consented_grp[1]/im6_rpt[15]/im6","3","558"
"consented_grp[1]/ca1","25","560"
"consented_grp[1]/ca14","4","584"
"consented_grp[1]/ca15","3","586"
"consented_grp[1]/ca16","4","589"
"consented_grp[1]/ca17","5","591"
"consented_grp[1]/ca20","5","596"
"consented_grp[1]/ca21","16","600"
"consented_grp[1]/ca22","7","614"
"consented_grp[1]/ca31","7","620"
"consented_grp[1]/gps_backup","4","625"
"comments","3","628"
