"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","3","3"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","89","7"
"comm_confirm_grp[1]/comm_details","1","95"
"comm_confirm_grp[1]/comm_confirm","1","95"
"u5_iden_grp[1]/u5_id","60","97"
"u5_iden_grp[1]/u5_fullname","60","97"
"u5_iden_grp[1]/u5_age","60","97"
"u5_iden_grp[1]/u5_ct_id","60","97"
"u5_iden_grp[1]/u5_ct_fullname","60","97"
"gm1_a","4","157"
"gmobs1","3","161"
"gmobs2","2","164"
"an8","4","166"
"an9","2","170"
"an11_grp[1]/an11_a","5","172"
"an11_grp[1]/an11","5","172"
"an12","3","177"
"an13","5","180"
"an15","1","185"
