"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","15"
"enum_id","86","16"
"enum_confirm_grp[1]/enum_details","1","103"
"enum_confirm_grp[1]/enum_confirm","1","103"
"community_id","9","104"
"comm_confirm_grp[1]/comm_details","1","113"
"comm_confirm_grp[1]/comm_confirm","1","113"
"hhid_grp[1]/hhid_instruction","11","114"
"hhid_grp[1]/hhid_struct_num","11","114"
"hhid_grp[1]/hhid_hh_num","11","114"
"hhid_confirm_grp[1]/hhid_details","2","125"
"hhid_confirm_grp[1]/hhid_confirm","2","125"
"consent_grp[1]/consent_instr","332","127"
"consent_grp[1]/consent","332","127"
"consented_grp[1]/hh_note","35","459"
"consented_grp[1]/hhm_cnt","18","494"
"consented_grp[1]/rooster_note","9","512"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","30","520"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","30","520"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","30","520"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","550"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","552"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","554"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","28","558"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","586"
"consented_grp[1]/hhm_rpt[1]/ed4","3","591"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","594"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","7","596"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","3","604"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","3","607"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","610"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","610"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","613"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","613"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","613"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","639"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","641"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","643"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","34","646"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","680"
"consented_grp[1]/hhm_rpt[2]/ed4","2","684"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","2","686"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","687"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","689"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","3","691"
"consented_grp[1]/hhm_rpt[2]/ed9","9","694"
"consented_grp[1]/hhm_rpt[2]/ed15","4","703"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","706"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","706"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","709"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","709"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","709"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","4","723"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","5","726"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","732"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","55","734"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","789"
"consented_grp[1]/hhm_rpt[3]/ed4","2","793"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","8","795"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","3","804"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","14","807"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","24","815"
"consented_grp[1]/hhm_rpt[3]/ed9","9","835"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","8","854"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","11","860"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","38","873"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","13","908"
"consented_grp[1]/hhm_rpt[3]/ed15","8","925"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","3","932"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","5","936"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","4","941"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","4","941"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","945"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","945"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","945"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","979"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","981"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","984"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","26","986"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","1012"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","66","1015"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","66","1015"
"consented_grp[1]/hhm_corr","11","1054"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","95","1092"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","95","1092"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","95","1092"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","51","1187"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","1237"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","11","1239"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl6_age_est","23","1250"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","4","1273"
"consented_grp[1]/hhm_rpt[5]/ed4","4","1278"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","2","1281"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","6","1284"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","7","1286"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","5","1296"
"consented_grp[1]/hhm_rpt[5]/ed9","3","1301"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","4","1304"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","5","1307"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","10","1313"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","10","1323"
"consented_grp[1]/hhm_rpt[5]/ed15","7","1333"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","4","1340"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","8","1344"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","7","1352"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","7","1352"
"consented_grp[1]/hhm_ch_intro","9","1359"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","11","1367"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","7","1378"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","1385"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","3","1387"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","1389"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","2","1392"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","3","1394"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","1397"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","2","1399"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","1","1401"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","1402"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","1","1404"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","4","1406"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","5","1410"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl15","13","1414"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","4","1427"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","2","1432"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl19","2","1433"
"consented_grp[1]/hhm_ch_rpt[3]/h20_grp[1]/hl20_ct","7","1436"
"consented_grp[1]/hhm_ch_rpt[3]/h20_grp[1]/hl20_oth","3","1443"
"consented_grp[1]/u5_rpt[1]/u5_note","50","1446"
"consented_grp[1]/hc_grp[1]/hc1a","6","1496"
"consented_grp[1]/hc_grp[1]/hc1b","19","1502"
"consented_grp[1]/hc_grp[1]/hc2","9","1515"
"consented_grp[1]/hc_grp[1]/hc3","24","1520"
"consented_grp[1]/hc_grp[1]/hc4","20","1553"
"consented_grp[1]/hc_grp[1]/hc5","7","1573"
"consented_grp[1]/hc_grp[1]/hc6","20","1579"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","74","1599"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","74","1599"
"consented_grp[1]/hc_grp[1]/hc8","18","1673"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","46","1691"
