"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","9","12"
"comm_confirm_grp[1]/comm_details","3","21"
"comm_confirm_grp[1]/comm_confirm","3","21"
"hhid_grp[1]/hhid_instruction","17","24"
"hhid_grp[1]/hhid_struct_num","17","24"
"hhid_grp[1]/hhid_hh_num","17","24"
"hhid_confirm_grp[1]/hhid_details","5","41"
"hhid_confirm_grp[1]/hhid_confirm","5","41"
"consent_grp[1]/consent_instr","506","45"
"consent_grp[1]/consent","506","45"
"consented_grp[1]/hh_note","2","551"
"consented_grp[1]/hhm_cnt","14","553"
"consented_grp[1]/rooster_note","2","567"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","569"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","569"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","569"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","595"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","597"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","600"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","4","603"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","6","607"
"consented_grp[1]/hhm_rpt[1]/ed4","5","613"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","15","619"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","15","619"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","623"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","623"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","623"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","667"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","670"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","672"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","8","674"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","682"
"consented_grp[1]/hhm_rpt[2]/ed4","4","685"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","689"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","689"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","67","693"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","67","693"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","67","693"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","18","760"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","771"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","13","781"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl6_age_est","6","795"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","800"
"consented_grp[1]/hhm_rpt[3]/ed4","12","806"
"consented_grp[1]/hhm_rpt[3]/ed9","9","811"
"consented_grp[1]/hhm_rpt[3]/ed15","4","827"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","15","830"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","15","830"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","845"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","845"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","845"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","13","873"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","886"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","889"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl6_age_est","7","891"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","8","898"
"consented_grp[1]/hhm_rpt[4]/ed4","6","906"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","4","911"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","3","916"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","2","919"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","3","921"
"consented_grp[1]/hhm_rpt[4]/ed9","6","924"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","3","930"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","4","932"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","4","936"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","939"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","13","941"
"consented_grp[1]/hhm_rpt[4]/ed15","15","954"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","2","969"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","2","971"
