"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","28","3"
"enum_confirm_grp[1]/enum_details","1","31"
"enum_confirm_grp[1]/enum_confirm","1","31"
"community_id","18","33"
"comm_confirm_grp[1]/comm_details","18","51"
"comm_confirm_grp[1]/comm_confirm","18","51"
"u5_iden_grp[1]/u5_id","196","69"
"u5_iden_grp[1]/u5_fullname","196","69"
"u5_iden_grp[1]/u5_age","196","69"
"u5_iden_grp[1]/u5_ct_id","196","69"
"u5_iden_grp[1]/u5_ct_fullname","196","69"
"gm1_a","4","265"
"gmobs1","14","268"
"gmobs2","2","282"
"an8","27","284"
"an9","6","304"
"an11_grp[1]/an11_b","43","307"
"an11_grp[1]/an11","43","307"
"an12","3","359"
"an13","2","362"
"an15","1","363"
